scenario_id,design,method,seed,equal_budget_replications,policy_evaluation_budget,selected_idx,selected_alpha_on,selected_alpha_off,visited_policies,holdout_objective,exhaustive_holdout_objective,regret_vs_exhaustive,exact_match
F12,factorial,high_fidelity_local_search,0,896,44,0,2.0,2.0,44,1.6013677113107447,1.6460535900826123,0.0,0
F12,factorial,MIGR_H,0,896,44,1,4.0,2.0,32,1.6091158608048015,1.6460535900826123,0.0,0
F12,factorial,exhaustive,0,896,44,3,6.0,2.0,190,1.6460535900826123,1.6460535900826123,0.0,1
F12,factorial,random_RS,0,896,44,0,2.0,2.0,44,1.6013677113107447,1.6460535900826123,0.0,0
F12,factorial,GP_BO,0,896,44,3,6.0,2.0,44,1.6460535900826123,1.6460535900826123,0.0,1
F12,factorial,random_RS,1,896,44,15,12.0,2.0,44,1.6272861871256457,1.6460535900826123,0.0,0
F12,factorial,GP_BO,1,896,44,3,6.0,2.0,44,1.6460535900826123,1.6460535900826123,0.0,1
F12,factorial,random_RS,2,896,44,4,6.0,4.0,44,1.642749495951295,1.6460535900826123,0.0,0
F12,factorial,GP_BO,2,896,44,3,6.0,2.0,44,1.6460535900826123,1.6460535900826123,0.0,1
F12,factorial,random_RS,3,896,44,6,8.0,2.0,44,1.6283520435098706,1.6460535900826123,0.0,0
F12,factorial,GP_BO,3,896,44,3,6.0,2.0,44,1.6460535900826123,1.6460535900826123,0.0,1
F12,factorial,random_RS,4,896,44,2,4.0,4.0,44,1.6346205984416515,1.6460535900826123,0.0,0
F12,factorial,GP_BO,4,896,44,3,6.0,2.0,44,1.6460535900826123,1.6460535900826123,0.0,1
F27,factorial,diffusion_topk,0,1148,57,0,2.0,2.0,57,3.1461536948709825,3.1461536948709825,0.0,1
F27,factorial,high_fidelity_local_search,0,1148,57,0,2.0,2.0,57,3.1461536948709825,3.1461536948709825,0.0,1
F27,factorial,MIGR_H,0,1148,57,1,4.0,2.0,41,3.141142373785035,3.1461536948709825,0.0,0
F27,factorial,exhaustive,0,1148,57,0,2.0,2.0,190,3.1461536948709825,3.1461536948709825,0.0,1
F27,factorial,random_RS,0,1148,57,0,2.0,2.0,57,3.1461536948709825,3.1461536948709825,0.0,1
F27,factorial,GP_BO,0,1148,57,0,2.0,2.0,57,3.1461536948709825,3.1461536948709825,0.0,1
F27,factorial,random_RS,1,1148,57,0,2.0,2.0,57,3.1461536948709825,3.1461536948709825,0.0,1
F27,factorial,GP_BO,1,1148,57,0,2.0,2.0,57,3.1461536948709825,3.1461536948709825,0.0,1
F27,factorial,random_RS,2,1148,57,10,10.0,2.0,57,3.1669624271968297,3.1461536948709825,0.00661402281769345,0
F27,factorial,GP_BO,2,1148,57,0,2.0,2.0,57,3.1461536948709825,3.1461536948709825,0.0,1
F27,factorial,random_RS,3,1148,57,10,10.0,2.0,57,3.1669624271968297,3.1461536948709825,0.00661402281769345,0
F27,factorial,GP_BO,3,1148,57,0,2.0,2.0,57,3.1461536948709825,3.1461536948709825,0.0,1
F27,factorial,random_RS,4,1148,57,1,4.0,2.0,57,3.141142373785035,3.1461536948709825,0.0,0
F27,factorial,GP_BO,4,1148,57,0,2.0,2.0,57,3.1461536948709825,3.1461536948709825,0.0,1
F28,factorial,diffusion_topk,0,463,23,0,2.0,2.0,23,0.6510362785975089,0.6510362785975089,0.0,1
F28,factorial,high_fidelity_local_search,0,463,23,18,12.0,8.0,23,0.8422547030948903,0.6510362785975089,0.29371393082627056,0
F28,factorial,MIGR_H,0,463,23,0,2.0,2.0,33,0.6510362785975089,0.6510362785975089,0.0,1
F28,factorial,exhaustive,0,463,23,0,2.0,2.0,190,0.6510362785975089,0.6510362785975089,0.0,1
F28,factorial,random_RS,0,463,23,0,2.0,2.0,23,0.6510362785975089,0.6510362785975089,0.0,1
F28,factorial,GP_BO,0,463,23,0,2.0,2.0,23,0.6510362785975089,0.6510362785975089,0.0,1
F28,factorial,random_RS,1,463,23,6,8.0,2.0,23,0.7322911741616724,0.6510362785975089,0.12480855251139987,0
F28,factorial,GP_BO,1,463,23,0,2.0,2.0,23,0.6510362785975089,0.6510362785975089,0.0,1
F28,factorial,random_RS,2,463,23,4,6.0,4.0,23,0.7294313745377159,0.6510362785975089,0.1204158639347859,0
F28,factorial,GP_BO,2,463,23,0,2.0,2.0,23,0.6510362785975089,0.6510362785975089,0.0,1
F28,factorial,random_RS,3,463,23,6,8.0,2.0,23,0.7322911741616724,0.6510362785975089,0.12480855251139987,0
F28,factorial,GP_BO,3,463,23,0,2.0,2.0,23,0.6510362785975089,0.6510362785975089,0.0,1
F28,factorial,random_RS,4,463,23,2,4.0,4.0,23,0.702964154975859,0.6510362785975089,0.07976187823237037,0
F28,factorial,GP_BO,4,463,23,0,2.0,2.0,23,0.6510362785975089,0.6510362785975089,0.0,1
F31,factorial,diffusion_topk,0,896,44,0,2.0,2.0,44,0.7047855656231139,0.7047855656231139,0.0,1
F31,factorial,high_fidelity_local_search,0,896,44,0,2.0,2.0,44,0.7047855656231139,0.7047855656231139,0.0,1
F31,factorial,MIGR_H,0,896,44,0,2.0,2.0,32,0.7047855656231139,0.7047855656231139,0.0,1
F31,factorial,exhaustive,0,896,44,0,2.0,2.0,190,0.7047855656231139,0.7047855656231139,0.0,1
F31,factorial,random_RS,0,896,44,0,2.0,2.0,44,0.7047855656231139,0.7047855656231139,0.0,1
F31,factorial,GP_BO,0,896,44,0,2.0,2.0,44,0.7047855656231139,0.7047855656231139,0.0,1
F31,factorial,random_RS,1,896,44,0,2.0,2.0,44,0.7047855656231139,0.7047855656231139,0.0,1
F31,factorial,GP_BO,1,896,44,0,2.0,2.0,44,0.7047855656231139,0.7047855656231139,0.0,1
F31,factorial,random_RS,2,896,44,4,6.0,4.0,44,0.7729409286481146,0.7047855656231139,0.09670368740418694,0
F31,factorial,GP_BO,2,896,44,0,2.0,2.0,44,0.7047855656231139,0.7047855656231139,0.0,1
F31,factorial,random_RS,3,896,44,6,8.0,2.0,44,0.7917100345959506,0.7047855656231139,0.12333463284819852,0
F31,factorial,GP_BO,3,896,44,0,2.0,2.0,44,0.7047855656231139,0.7047855656231139,0.0,1
F31,factorial,random_RS,4,896,44,2,4.0,4.0,44,0.7484665599277612,0.7047855656231139,0.06197770844814077,0
F31,factorial,GP_BO,4,896,44,0,2.0,2.0,44,0.7047855656231139,0.7047855656231139,0.0,1
F36,factorial,diffusion_topk,0,656,32,0,2.0,2.0,32,3.53523589722779,3.53523589722779,0.0,1
F36,factorial,high_fidelity_local_search,0,656,32,11,10.0,4.0,32,3.6136307363621145,3.53523589722779,0.022175278089872043,0
F36,factorial,MIGR_H,0,656,32,0,2.0,2.0,36,3.53523589722779,3.53523589722779,0.0,1
F36,factorial,exhaustive,0,656,32,0,2.0,2.0,190,3.53523589722779,3.53523589722779,0.0,1
F36,factorial,random_RS,0,656,32,0,2.0,2.0,32,3.53523589722779,3.53523589722779,0.0,1
F36,factorial,GP_BO,0,656,32,0,2.0,2.0,32,3.53523589722779,3.53523589722779,0.0,1
F36,factorial,random_RS,1,656,32,0,2.0,2.0,32,3.53523589722779,3.53523589722779,0.0,1
F36,factorial,GP_BO,1,656,32,0,2.0,2.0,32,3.53523589722779,3.53523589722779,0.0,1
F36,factorial,random_RS,2,656,32,66,24.0,2.0,32,3.562938078162804,3.53523589722779,0.007836020492080117,0
F36,factorial,GP_BO,2,656,32,0,2.0,2.0,32,3.53523589722779,3.53523589722779,0.0,1
F36,factorial,random_RS,3,656,32,66,24.0,2.0,32,3.562938078162804,3.53523589722779,0.007836020492080117,0
