scenario_id,method,budget_policies,seed,selected_idx,regret,exact
F07,GP_BO,44,1,1,0.0,1
F07,diffusion_residual_GP,44,1,1,0.0,1
F07,GP_BO,44,2,1,0.0,1
F07,diffusion_residual_GP,44,2,1,0.0,1
F07,GP_BO,44,3,1,0.0,1
F07,diffusion_residual_GP,44,3,1,0.0,1
F07,GP_BO,44,4,1,0.0,1
F07,diffusion_residual_GP,44,4,1,0.0,1
F09,GP_BO,12,0,10,0.0,0
F09,diffusion_residual_GP,12,0,10,0.0,0
F09,GP_BO,12,1,10,0.0,0
F09,diffusion_residual_GP,12,1,10,0.0,0
F09,GP_BO,12,2,6,0.0,0
F09,diffusion_residual_GP,12,2,10,0.0,0
F09,GP_BO,12,3,3,0.0,1
F09,diffusion_residual_GP,12,3,10,0.0,0
F09,GP_BO,12,4,10,0.0,0
F09,diffusion_residual_GP,12,4,10,0.0,0
F09,GP_BO,20,0,3,0.0,1
F09,diffusion_residual_GP,20,0,3,0.0,1
F09,GP_BO,20,1,3,0.0,1
F09,diffusion_residual_GP,20,1,3,0.0,1
F09,GP_BO,20,2,3,0.0,1
F09,diffusion_residual_GP,20,2,3,0.0,1
F09,GP_BO,20,3,3,0.0,1
F09,diffusion_residual_GP,20,3,3,0.0,1
F09,GP_BO,20,4,3,0.0,1
F09,diffusion_residual_GP,20,4,3,0.0,1
F09,GP_BO,30,0,3,0.0,1
F09,diffusion_residual_GP,30,0,3,0.0,1
F09,GP_BO,30,1,3,0.0,1
F09,diffusion_residual_GP,30,1,3,0.0,1
F09,GP_BO,30,2,3,0.0,1
F09,diffusion_residual_GP,30,2,3,0.0,1
F09,GP_BO,30,3,3,0.0,1
F09,diffusion_residual_GP,30,3,3,0.0,1
F09,GP_BO,30,4,3,0.0,1
F09,diffusion_residual_GP,30,4,3,0.0,1
F09,GP_BO,44,0,3,0.0,1
F09,diffusion_residual_GP,44,0,3,0.0,1
F09,GP_BO,44,1,3,0.0,1
F09,diffusion_residual_GP,44,1,3,0.0,1
F09,GP_BO,44,2,3,0.0,1
F09,diffusion_residual_GP,44,2,3,0.0,1
F09,GP_BO,44,3,3,0.0,1
F09,diffusion_residual_GP,44,3,3,0.0,1
F09,GP_BO,44,4,3,0.0,1
F09,diffusion_residual_GP,44,4,3,0.0,1
F10,GP_BO,12,0,0,0.0,0
F10,diffusion_residual_GP,12,0,1,0.0,1
F10,GP_BO,12,1,0,0.0,0
F10,diffusion_residual_GP,12,1,1,0.0,1
F10,GP_BO,12,2,0,0.0,0
F10,diffusion_residual_GP,12,2,1,0.0,1
F10,GP_BO,12,3,0,0.0,0
F10,diffusion_residual_GP,12,3,1,0.0,1
F10,GP_BO,12,4,0,0.0,0
F10,diffusion_residual_GP,12,4,1,0.0,1
F10,GP_BO,20,0,1,0.0,1
F10,diffusion_residual_GP,20,0,1,0.0,1
F10,GP_BO,20,1,1,0.0,1
F10,diffusion_residual_GP,20,1,1,0.0,1
F10,GP_BO,20,2,1,0.0,1
F10,diffusion_residual_GP,20,2,1,0.0,1
F10,GP_BO,20,3,1,0.0,1
F10,diffusion_residual_GP,20,3,1,0.0,1
F10,GP_BO,20,4,1,0.0,1
F10,diffusion_residual_GP,20,4,1,0.0,1
F10,GP_BO,30,0,1,0.0,1
F10,diffusion_residual_GP,30,0,1,0.0,1
F10,GP_BO,30,1,1,0.0,1
F10,diffusion_residual_GP,30,1,1,0.0,1
F10,GP_BO,30,2,1,0.0,1
F10,diffusion_residual_GP,30,2,1,0.0,1
F10,GP_BO,30,3,1,0.0,1
F10,diffusion_residual_GP,30,3,1,0.0,1
F10,GP_BO,30,4,1,0.0,1
F10,diffusion_residual_GP,30,4,1,0.0,1
F10,GP_BO,44,0,1,0.0,1
F10,diffusion_residual_GP,44,0,1,0.0,1
F10,GP_BO,44,1,1,0.0,1
F10,diffusion_residual_GP,44,1,1,0.0,1
F10,GP_BO,44,2,1,0.0,1
F10,diffusion_residual_GP,44,2,1,0.0,1
F10,GP_BO,44,3,1,0.0,1
F10,diffusion_residual_GP,44,3,1,0.0,1
F10,GP_BO,44,4,1,0.0,1
F10,diffusion_residual_GP,44,4,1,0.0,1
F12,GP_BO,12,0,0,0.0,0
F12,diffusion_residual_GP,12,0,3,0.0,1
F12,GP_BO,12,1,3,0.0,1
F12,diffusion_residual_GP,12,1,3,0.0,1
F12,GP_BO,12,2,0,0.0,0
F12,diffusion_residual_GP,12,2,3,0.0,1
F12,GP_BO,12,3,3,0.0,1
F12,diffusion_residual_GP,12,3,3,0.0,1
F12,GP_BO,12,4,3,0.0,1
F12,diffusion_residual_GP,12,4,3,0.0,1
F12,GP_BO,20,0,3,0.0,1
F12,diffusion_residual_GP,20,0,3,0.0,1
F12,GP_BO,20,1,3,0.0,1
F12,diffusion_residual_GP,20,1,3,0.0,1
