scenario_id,method,budget_policies,median_regret,p90_seed_regret,success_1,success_5,exact
R13,GP_BO,30,0.0,0.0,1.0,1.0,1.0
R13,GP_BO,44,0.0,0.0,1.0,1.0,1.0
R13,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
R13,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
R13,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
R13,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
R17,GP_BO,12,0.0,0.0,1.0,1.0,1.0
R17,GP_BO,20,0.0,0.0,1.0,1.0,1.0
R17,GP_BO,30,0.0,0.0,1.0,1.0,1.0
R17,GP_BO,44,0.0,0.0,1.0,1.0,1.0
R17,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
R17,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
R17,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
R17,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
R18,GP_BO,12,0.0,0.0,1.0,1.0,0.0
R18,GP_BO,20,0.0,0.0,1.0,1.0,0.8
R18,GP_BO,30,0.0,0.0,1.0,1.0,1.0
R18,GP_BO,44,0.0,0.0,1.0,1.0,1.0
R18,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
R18,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
R18,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
R18,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
R20,GP_BO,12,0.0,0.0,1.0,1.0,1.0
R20,GP_BO,20,0.0,0.0,1.0,1.0,1.0
R20,GP_BO,30,0.0,0.0,1.0,1.0,1.0
R20,GP_BO,44,0.0,0.0,1.0,1.0,1.0
R20,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
R20,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
R20,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
R20,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
R22,GP_BO,12,0.0,0.0,1.0,1.0,1.0
R22,GP_BO,20,0.0,0.0,1.0,1.0,1.0
R22,GP_BO,30,0.0,0.0,1.0,1.0,1.0
R22,GP_BO,44,0.0,0.0,1.0,1.0,1.0
R22,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
R22,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
R22,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
R22,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
R23,GP_BO,12,0.0,0.0,1.0,1.0,1.0
R23,GP_BO,20,0.0,0.0,1.0,1.0,1.0
R23,GP_BO,30,0.0,0.0,1.0,1.0,1.0
R23,GP_BO,44,0.0,0.0,1.0,1.0,1.0
R23,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
R23,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
R23,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
R23,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
R24,GP_BO,12,0.0,0.0,1.0,1.0,1.0
R24,GP_BO,20,0.0,0.0,1.0,1.0,1.0
R24,GP_BO,30,0.0,0.0,1.0,1.0,1.0
R24,GP_BO,44,0.0,0.0,1.0,1.0,1.0
R24,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
R24,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
R24,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
R24,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
V01,GP_BO,12,0.0032778340303448884,0.007847149286002717,1.0,1.0,0.0
V01,GP_BO,20,0.0,0.008768327352078775,1.0,1.0,0.2
V01,GP_BO,30,0.0,0.0016682296979833471,1.0,1.0,0.2
V01,GP_BO,44,0.0,0.0016682296979833471,1.0,1.0,0.2
V01,diffusion_residual_GP,12,0.010665480692701462,0.010665480692701462,0.0,1.0,0.0
V01,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,0.0
V01,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,0.0
V01,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,0.0
V02,GP_BO,12,0.0,0.0,1.0,1.0,1.0
V02,GP_BO,20,0.0,0.0,1.0,1.0,1.0
V02,GP_BO,30,0.0,0.0,1.0,1.0,1.0
V02,GP_BO,44,0.0,0.0,1.0,1.0,1.0
V02,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
V02,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
V02,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
V02,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
V03,GP_BO,12,0.0,0.0,1.0,1.0,1.0
V03,GP_BO,20,0.0,0.0,1.0,1.0,1.0
V03,GP_BO,30,0.0,0.0,1.0,1.0,1.0
V03,GP_BO,44,0.0,0.0,1.0,1.0,1.0
V03,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
V03,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
V03,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
V03,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
V04,GP_BO,12,0.0,0.0,1.0,1.0,0.2
V04,GP_BO,20,0.0,0.0,1.0,1.0,0.8
V04,GP_BO,30,0.0,0.0,1.0,1.0,1.0
V04,GP_BO,44,0.0,0.0,1.0,1.0,1.0
V04,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
V04,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
V04,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
V04,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
V05,GP_BO,12,0.0,0.0,1.0,1.0,0.6
V05,GP_BO,20,0.0,0.0,1.0,1.0,1.0
