scenario_id,policy_idx,alpha_on,alpha_off,train_score,train_score_se,train_op_cost,train_W,train_B_H,train_B_L,train_cloud_fraction,diffusion_score,diffusion_W,diffusion_B_H,diffusion_B_L,diffusion_cloud_fraction,rho,qH,tau
BG03,88,26.0,22.0,3.666113864024481,0.4939139473093974,0.301370786165922,0.22757753898207514,0.07764840080935423,0.06509464228187617,0.2672341553186107,3.4361889329682835,0.23953563497399302,0.08093501939895693,0.04195591605362896,0.35350761777433837,0.7,0.5,0.5
BG03,89,26.0,24.0,3.219888346000747,0.5052462955182961,0.34525516943526857,0.21321253612662538,0.07316110492525922,0.049866025349063904,0.31327328901627477,3.58735599768104,0.2447692834697013,0.08397945572597885,0.043665998772847846,0.3516678188616422,0.7,0.5,0.5
BG03,90,26.0,26.0,3.7265810719806916,0.5492663606693422,0.31675874767122364,0.23649384068786883,0.08160113799229539,0.061225990542967734,0.2812846715680433,3.7634896044177926,0.250389290090498,0.08752282150463074,0.045760093896795924,0.3497901356726807,0.7,0.5,0.5
BG03,91,28.0,2.0,2.8233467377172317,0.4575553315451842,0.43257522195170056,0.19853488994451182,0.06524326491632983,0.03936391270514011,0.4027949884600239,2.9061870890567842,0.21519067852015641,0.06923824807331015,0.036496712166042965,0.41199608361325324,0.7,0.5,0.5
BG03,92,28.0,4.0,2.7719159510681557,0.3259246515665443,0.4196805067490242,0.20480530217545215,0.06443501171098423,0.046420816401461236,0.3889597114227064,3.051352826234417,0.2213832761457158,0.07269026697121135,0.03831660993302828,0.38363198625199224,0.7,0.5,0.5
BG03,93,28.0,6.0,3.105027434680738,0.35104567075890736,0.4029251748331195,0.2214065477852616,0.0696676348817961,0.049737706895725375,0.3697141926653303,3.1025186237576965,0.22357737192043856,0.07388591788518988,0.03894698321995094,0.37468612371013743,0.7,0.5,0.5
BG03,94,28.0,8.0,3.106000947783384,0.4268575823476258,0.3699273122348334,0.21384151052023745,0.07184802353920712,0.042581890214950735,0.3378510856567977,3.137449538064196,0.22510469110143846,0.07468180758233878,0.03936665910738978,0.36959345528204157,0.7,0.5,0.5
BG03,95,28.0,10.0,3.168879611941818,0.24219022675282562,0.38016490693168725,0.22623003104248016,0.06969907307242977,0.05490925117722963,0.3462304022753153,3.1726896757972693,0.22666617125685717,0.07546296155994081,0.03977873572534806,0.3655416721117005,0.7,0.5,0.5
BG03,96,28.0,12.0,3.5750132954174947,0.4302298779309072,0.34515945993971525,0.23392973734681863,0.0788608665159688,0.057982527312193076,0.31006999933769247,3.214639305382195,0.22852642669789808,0.07636929979695434,0.04025730599242083,0.3618953515297938,0.7,0.5,0.5
BG03,97,28.0,14.0,3.60047592888456,0.3060469737197872,0.3554298581984539,0.23533971766378733,0.0815622240347055,0.05021012394394398,0.3201289005488858,3.267372265531545,0.23083519785529102,0.0774841278080262,0.04084713811315372,0.3585405954519414,0.7,0.5,0.5
BG03,98,28.0,16.0,3.232457588959724,0.24597970884374126,0.366491768150857,0.22424311050728926,0.07344015000095395,0.048480791815997425,0.33285530157476356,3.3344371952944334,0.2336974776141236,0.07887780894174029,0.04158736284770558,0.35549212656530044,0.7,0.5,0.5
BG03,99,28.0,18.0,3.5969609360108676,0.4393323482537253,0.34875335516128386,0.2391728215410168,0.0797176808216304,0.053369616806790136,0.3128774319301314,3.4192986066722764,0.2371875069103656,0.08061888976868488,0.042518652999287435,0.35277599220147793,0.7,0.5,0.5
BG03,100,28.0,20.0,3.7645980152724388,0.4433665096538632,0.32308569164792433,0.22317266488219156,0.08004724733428324,0.060728494104427315,0.28960979191559566,3.525346778633896,0.24134605534096307,0.0827752152450784,0.043686217263363636,0.3503841080788316,0.7,0.5,0.5
BG03,101,28.0,22.0,4.363634534825534,0.4308061530507035,0.28058293574872833,0.23504373605638718,0.09202566174190992,0.07052754965666631,0.24532637534027024,3.6556697290536837,0.2461708459769992,0.08540986861599818,0.045141727306892004,0.348250671357225,0.7,0.5,0.5
BG03,102,28.0,24.0,3.511084403895016,0.45371512516440204,0.32125026270637097,0.2220575161482091,0.07875362324306369,0.05655653430593014,0.28794163528413963,3.812573452175027,0.2516028546081425,0.08857190027812999,0.04694474560753664,0.34623801007730687,0.7,0.5,0.5
BG03,103,28.0,26.0,4.004300027837645,0.5388867465713849,0.2986710290275158,0.23852070355783725,0.08547120014518152,0.06759772262645898,0.26289292349384025,3.99676348605278,0.2575098544855265,0.09228011143548341,0.04916302285578774,0.3441314361057805,0.7,0.5,0.5
BG03,104,28.0,28.0,3.582793353913669,0.5072987602419436,0.3238589317920141,0.22162574479956643,0.0778365936079442,0.05785366870285238,0.29061507007207915,4.243474711774444,0.2636694471288115,0.09649764340042208,0.05186968272611711,0.34164847016167693,0.7,0.5,0.5
BG03,105,30.0,2.0,3.253742775417964,0.4024831194523896,0.4319504737558592,0.2058900749337171,0.07313562381031406,0.04610397188025276,0.40106696251580165,3.0985269997586316,0.2209206973960228,0.0731837469939223,0.039475955143579884,0.40620154545311327,0.7,0.5,0.5
