scenario_id,rho,qH,tau,method,init_seed,selected_idx,reference_idx,same_policy_as_reference,replications,viol_cost,viol_B_H,viol_B_L,upper_cost,upper_B_H,upper_B_L,max_upper,certified,mean_cost_excess,median_cost_excess,p90_cost_excess,max_cost_excess,mean_delta_B_H,mean_delta_B_L
BG08,0.9,0.2,2.0,Guarded-GP,4,0,23,0,150,83,51,51,0.6409500400579764,0.4285835691833718,0.4285835691833718,0.6409500400579764,0,0.28539764533010115,0.1301887819856971,1.0391787029928017,2.874692337079504,-0.017299617669170847,-0.010960601987036349
BG09,0.9,0.5,0.5,DR-BGS,0,1,1,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,DR-BGS,1,1,1,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,DR-BGS,2,1,1,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,DR-BGS,3,1,1,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,DR-BGS,4,1,1,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,Guarded-GP,0,1,1,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,Guarded-GP,1,1,1,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,Guarded-GP,2,1,1,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,Guarded-GP,3,1,1,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,Guarded-GP,4,1,1,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,DR-BGS,0,3,3,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,DR-BGS,1,3,3,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,DR-BGS,2,3,3,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,DR-BGS,3,3,3,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG10,0.9,0.5,2.0,DR-BGS,4,3,3,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
