scenario_id,rho,qH,tau,method,init_seed,selected_idx,selected_alpha_on,selected_alpha_off,exhaustive_train_idx,evaluated_policies,holdout_op_cost,holdout_B_H,holdout_B_L,holdout_cloud_fraction,holdout_excess,viol_H,viol_L,upper_H,upper_L,certified,cert_mean_B_H,cert_mean_B_L,cert_mean_W,cert_mean_cloud
BG02,0.7,0.2,2.0,Guarded-GP,1,10,10.0,2.0,10,20,0.29423142980286937,0.1857034428739855,0.17535521343152938,0.25436048176956627,0.0,150,149,1.0,0.99983122885689,0,0.18678151706376628,0.17858727654869944,0.268053213096733,0.27580520401384356
BG02,0.7,0.2,2.0,Guarded-GP,2,20,12.0,12.0,10,20,0.24339783898578324,0.21221241418780065,0.1986078545813111,0.20241576568759434,0.0,150,150,1.0,1.0,0,0.20268606663232439,0.1890041875145341,0.2734118563274807,0.2372001629238155
BG02,0.7,0.2,2.0,Guarded-GP,3,10,10.0,2.0,10,20,0.29423142980286937,0.1857034428739855,0.17535521343152938,0.25436048176956627,0.0,150,149,1.0,0.99983122885689,0,0.18678151706376628,0.17858727654869944,0.268053213096733,0.27580520401384356
BG02,0.7,0.2,2.0,Guarded-GP,4,10,10.0,2.0,10,20,0.29423142980286937,0.1857034428739855,0.17535521343152938,0.25436048176956627,0.0,150,149,1.0,0.99983122885689,0,0.18678151706376628,0.17858727654869944,0.268053213096733,0.27580520401384356
BG03,0.7,0.5,0.5,DR-BGS,0,0,2.0,2.0,0,20,0.5701638752231156,0.1670548064792605,0.08771018241608995,0.5332596467546828,0.0,150,92,1.0,0.6916426928331265,0,0.14904146009547067,0.0733028860396854,0.24296393935754712,0.5924670232226896
BG03,0.7,0.5,0.5,DR-BGS,1,0,2.0,2.0,0,20,0.5701638752231156,0.1670548064792605,0.08771018241608995,0.5332596467546828,0.0,150,92,1.0,0.6916426928331265,0,0.14904146009547067,0.0733028860396854,0.24296393935754712,0.5924670232226896
BG03,0.7,0.5,0.5,DR-BGS,2,0,2.0,2.0,0,20,0.5701638752231156,0.1670548064792605,0.08771018241608995,0.5332596467546828,0.0,150,92,1.0,0.6916426928331265,0,0.14904146009547067,0.0733028860396854,0.24296393935754712,0.5924670232226896
BG03,0.7,0.5,0.5,DR-BGS,3,0,2.0,2.0,0,20,0.5701638752231156,0.1670548064792605,0.08771018241608995,0.5332596467546828,0.0,150,92,1.0,0.6916426928331265,0,0.14904146009547067,0.0733028860396854,0.24296393935754712,0.5924670232226896
BG03,0.7,0.5,0.5,DR-BGS,4,0,2.0,2.0,0,20,0.5701638752231156,0.1670548064792605,0.08771018241608995,0.5332596467546828,0.0,150,92,1.0,0.6916426928331265,0,0.14904146009547067,0.0733028860396854,0.24296393935754712,0.5924670232226896
BG03,0.7,0.5,0.5,Guarded-GP,0,0,2.0,2.0,0,20,0.5701638752231156,0.1670548064792605,0.08771018241608995,0.5332596467546828,0.0,150,92,1.0,0.6916426928331265,0,0.14904146009547067,0.0733028860396854,0.24296393935754712,0.5924670232226896
BG03,0.7,0.5,0.5,Guarded-GP,1,0,2.0,2.0,0,20,0.5701638752231156,0.1670548064792605,0.08771018241608995,0.5332596467546828,0.0,150,92,1.0,0.6916426928331265,0,0.14904146009547067,0.0733028860396854,0.24296393935754712,0.5924670232226896
BG03,0.7,0.5,0.5,Guarded-GP,2,0,2.0,2.0,0,20,0.5701638752231156,0.1670548064792605,0.08771018241608995,0.5332596467546828,0.0,150,92,1.0,0.6916426928331265,0,0.14904146009547067,0.0733028860396854,0.24296393935754712,0.5924670232226896
BG03,0.7,0.5,0.5,Guarded-GP,3,0,2.0,2.0,0,20,0.5701638752231156,0.1670548064792605,0.08771018241608995,0.5332596467546828,0.0,150,92,1.0,0.6916426928331265,0,0.14904146009547067,0.0733028860396854,0.24296393935754712,0.5924670232226896
BG03,0.7,0.5,0.5,Guarded-GP,4,0,2.0,2.0,0,20,0.5701638752231156,0.1670548064792605,0.08771018241608995,0.5332596467546828,0.0,150,92,1.0,0.6916426928331265,0,0.14904146009547067,0.0733028860396854,0.24296393935754712,0.5924670232226896
BG04,0.7,0.5,2.0,DR-BGS,0,0,2.0,2.0,0,20,0.4120850606535053,0.20015139573078158,0.14313042971004153,0.37155104174015796,0.0,150,145,1.0,0.9890898135310887,0,0.19940017798100426,0.1561457426433308,0.2694351729523251,0.366474573526565
BG04,0.7,0.5,2.0,DR-BGS,1,0,2.0,2.0,0,20,0.4120850606535053,0.20015139573078158,0.14313042971004153,0.37155104174015796,0.0,150,145,1.0,0.9890898135310887,0,0.19940017798100426,0.1561457426433308,0.2694351729523251,0.366474573526565
BG04,0.7,0.5,2.0,DR-BGS,2,0,2.0,2.0,0,20,0.4120850606535053,0.20015139573078158,0.14313042971004153,0.37155104174015796,0.0,150,145,1.0,0.9890898135310887,0,0.19940017798100426,0.1561457426433308,0.2694351729523251,0.366474573526565
