scenario_id,design,policy_idx,alpha_on,alpha_off,gap_fraction,diffusion_objective,train_objective,train_objective_ci95_hw,holdout_objective,holdout_objective_ci95_hw,holdout_W,holdout_B_H,holdout_B_L,holdout_cloud_fraction,holdout_activation_rate,group
F27,factorial,124,32.0,10.0,0.55,4.202288805459465,3.4655565443395537,0.0773331309341092,3.409545387434312,0.0386160360375441,0.5047026195017545,0.2414999799886425,0.1709254034816132,0.2501178373683941,0.1929629629629629,development
F27,factorial,125,32.0,12.0,0.5,4.238442922718779,3.4926172405512688,0.0839668662477194,3.505492188549192,0.0451301987157149,0.5172603988991592,0.2488473346968947,0.1760957675350232,0.2380760953741058,0.1916666666666666,development
F27,factorial,126,32.0,14.0,0.45,4.2825567939295714,3.5474582510744987,0.0724188312635007,3.511154876100552,0.0396167931633651,0.5177510296573165,0.2493858868504798,0.1761783446854447,0.2363964648993061,0.1966296296296296,development
F27,factorial,127,32.0,16.0,0.4,4.335799666978391,3.579010666342337,0.0572633001497695,3.594287493997791,0.0396074644338374,0.5316915315708334,0.2553277316406002,0.1808027414177427,0.2292471699063963,0.1979259259259259,development
F27,factorial,128,32.0,18.0,0.35,4.399224995945086,3.592582504097566,0.0529334463422647,3.6299217819505794,0.0446695262642036,0.5380267642100355,0.2579010376291953,0.1826292507772518,0.2252460580218427,0.2021481481481481,development
F27,factorial,129,32.0,20.0,0.3,4.473872892939984,3.6839961413976825,0.0723882381864447,3.702648798227572,0.0413777361487023,0.5496561272316648,0.2632975441473638,0.1860906534699206,0.2191623833898651,0.2041851851851851,development
F27,factorial,130,32.0,22.0,0.25,4.560825739054445,3.785744284877772,0.0677642724928002,3.780075953515052,0.0446742732993253,0.5630645981909395,0.2687800568822264,0.190276566165969,0.2140774843477043,0.2082592592592592,development
F27,factorial,131,32.0,24.0,0.2,4.661202157336668,3.8895025139591737,0.0539229458273536,3.912860317287064,0.0408542322016467,0.5820195584247998,0.2787342572558844,0.1972024122719564,0.2019686224941128,0.2121481481481481,development
F27,factorial,132,32.0,26.0,0.15,4.776040867340114,3.9793466046765062,0.0607341038261465,3.9771760502778064,0.0377912927599477,0.594607372901486,0.2832978022750873,0.199851715004632,0.1998454684554689,0.2198888888888889,development
F27,factorial,133,32.0,28.0,0.1,4.906005116525419,4.060624734616395,0.04795442694986,4.057722358711505,0.0381594459501663,0.6076806408514557,0.2891862493806142,0.2040211908811822,0.1925049874038031,0.2293703703703703,development
F27,factorial,134,32.0,30.0,0.05,5.050827327506033,4.215123261105676,0.0539009958113398,4.1971672239328015,0.0410420978369749,0.6276457589913946,0.2992699150295702,0.2130662376789289,0.1766268817935296,0.2361481481481481,development
F27,factorial,135,32.0,32.0,0.0,5.208426004238771,4.3161826712957865,0.0613511371693348,4.336407496468076,0.0431633839031122,0.645051450568134,0.3101727859024471,0.2195734744279783,0.1627780032221008,0.2457777777777777,development
