scenario_id,group,migr_h,local_only,static_half,fixed_deadband_05_04,diffusion_only,best_single_training,improvement_vs_local_only,improvement_vs_static_half,improvement_vs_fixed_deadband_05_04,improvement_vs_diffusion_only,improvement_vs_best_single_training
V01,fresh,0.5960479895285069,0.6095775117518983,0.6077997050691853,0.6163725367991544,0.6817565838096905,0.602374285034034,0.02219491690975967,0.019334849034421224,0.03297445304132726,0.12571729605050475,0.010502266884068048
V02,fresh,1.3367852065116483,2.9892663291081805,1.9139464988640056,1.8451487004566225,1.3367852065116483,1.3265164576695,0.5528049162115087,0.3015556039288051,0.2755135636597573,0.0,-0.007741139420304637
V03,fresh,0.8174518308153209,1.3291355891840848,1.0417101304519425,1.0080694081450183,0.8174518308153209,0.8210927594843856,0.3849748381825143,0.21527898508515786,0.189091719071665,0.0,0.0044342476864015915
V04,fresh,1.0803571694650222,1.7007750926187961,1.327300004473022,1.2959868525127942,1.059930243118916,1.0526994663341709,0.36478540040145774,0.1860489973448343,0.16638261617368008,-0.019271953488183072,-0.026273123541293457
V05,fresh,0.5619898955880516,0.5947191731447258,0.5759368762503639,0.5678723363861097,0.5579405204388352,0.5587567493407585,0.05503316360831281,0.0242161619396802,0.010358738084502323,-0.007257718342506088,-0.005786321598992188
V06,fresh,1.800456124082865,2.3223353506825033,2.0581042539565613,2.009925116354564,1.7736378572811409,1.744868867788902,0.2247217338556488,0.12518711303296995,0.10421731166363887,-0.0151204862320849,-0.03185755521238864
V07,fresh,2.6170657888868414,3.810636441282455,2.899240578080911,2.857897726368619,2.618495524956885,2.624062992276541,0.3132208151544161,0.09732713846770488,0.08426891391519112,0.0005460143263246659,0.002666553131649073
V08,fresh,1.665462629242532,2.057024390613507,1.7819687866271414,1.7604965439130444,1.665462629242532,1.6624037187149008,0.190353484945403,0.06538058256627985,0.05398131282852796,0.0,-0.0018400527460296758
V09,fresh,0.9819900511786518,1.3214997846564331,1.1179309319775717,1.1017794872334692,0.9833489793371976,0.9737918152163264,0.2569124395022493,0.121600428890939,0.10872360344591693,0.0013819388509069502,-0.008418879512254021
V10,fresh,0.4592591005063917,0.6529189377713469,0.5308272048197349,0.5269759703446705,0.4592591005063917,0.4881315050439807,0.29660624935461,0.1348237310814679,0.1285008684437515,0.0,0.05914882411654127
V11,fresh,1.42848810520277,2.5983247231385227,1.7749176029293088,1.6762169948554595,1.403482315700484,1.4204513139855284,0.45022725894040844,0.19518060847151128,0.14779046532340592,-0.01781696087122084,-0.005657913888433022
V12,fresh,1.165852286502597,1.4250884467294438,1.224822507703046,1.214628993233651,1.1616239722225237,1.158957612938276,0.18190882174491677,0.04814593202654139,0.04015770000780061,-0.003640002600827381,-0.0059490299622272395
