scenario_id,policy_idx,alpha_on,alpha_off,norm_W,norm_BH,norm_BL,norm_cloud
F03,159,36.0,14.0,0.45628218270979254,0.42670801120761476,0.4319928631827673,0.05691033862601293
F03,164,36.0,24.0,0.6107650772504716,0.6030930722994549,0.5326305377547688,0.030741903614270538
F03,167,36.0,30.0,0.7330169384400504,0.7071203191731413,0.7056282809554947,0.019215629149157122
F03,185,38.0,30.0,0.7755425325589234,0.7701375800021109,0.7563670481395867,0.013621632765674036
F03,187,38.0,34.0,0.9519715215635555,1.0,0.9123016365656837,0.0
F03,188,38.0,36.0,0.8919983661339214,0.8794369417121483,0.8409250229525277,0.002324492347353415
F04,0,2.0,2.0,0.0,0.0,0.010708050576981553,1.0
F04,1,4.0,2.0,0.023046274189425463,0.008700407062722546,0.0,0.9003352202494724
F04,2,4.0,4.0,0.037115047771907723,0.020228576874574338,0.015024648365535045,0.8621911375069589
F04,3,6.0,2.0,0.06758564403070891,0.02838676382639457,0.021703442185614763,0.7907086980787624
F04,4,6.0,4.0,0.0703314394055645,0.04463128468362872,0.031603477116255406,0.7569378647517556
F04,5,6.0,6.0,0.09148518739093,0.047942350566045185,0.046888039176181985,0.7308073202347283
F04,6,8.0,2.0,0.09678738135102963,0.058499935670579574,0.03713014543766553,0.6996923930530863
F04,7,8.0,4.0,0.10632398482816392,0.06973924839290674,0.04766544066856748,0.659000120903083
F04,8,8.0,6.0,0.12304708049717508,0.0710539503359959,0.055947138088910525,0.6312488108881253
F04,9,8.0,8.0,0.1202098783233191,0.07610220255260512,0.05198917072841119,0.6154571722097346
F04,10,10.0,2.0,0.1388445780782614,0.08186578284766381,0.05776733279229817,0.6061719099053037
F04,11,10.0,4.0,0.13787407860832696,0.08997416174354494,0.056939739353175305,0.5685680811966369
F04,12,10.0,6.0,0.1506802007221527,0.08904649129198886,0.05965844452488198,0.5447249004947433
F04,13,10.0,8.0,0.15521272642976142,0.07062032852920071,0.06239061945525676,0.5275763032891996
