scenario_id,design,policy_count,pareto_count,pareto_fraction,distinct_optima_287,equal_weight_idx,robust_idx,robust_is_pareto,robust_differs_from_equal,equal_weight_max_normalized_regret,robust_max_normalized_regret,max_regret_reduction,robust_equal_weight_penalty,equal_profile_fraction_regret_gt_5pct,robust_profile_fraction_regret_gt_5pct,equal_alpha_on,equal_alpha_off,robust_alpha_on,robust_alpha_off
T06,frozen_fresh59,190,139,0.7315789473684211,13,0,181,1,1,1.0,0.4894448775082174,0.5105551224917826,0.2072037081770463,0.1498257839721254,0.926829268292683,2.5600571826553056,2.5600571826553056,48.6410864704508,28.16062900920836
T07,frozen_fresh59,190,155,0.8157894736842105,6,1,160,1,1,0.9995671318416948,0.4980641774599339,0.5017201330517396,0.2339405817297252,0.1219512195121951,0.926829268292683,5.415967458044367,2.707983729022184,48.7437071223993,21.663869832177472
T08,frozen_fresh59,190,117,0.6157894736842106,15,0,76,1,1,1.0,0.4637032970218753,0.5362967029781247,0.1707111178023553,0.1951219512195122,0.8048780487804879,3.060720607804292,3.060720607804292,36.72864729365151,33.66792668584721
T09,frozen_fresh59,190,156,0.8210526315789474,13,0,144,1,1,1.0,0.4986731134329527,0.5013268865670473,0.2123014565794334,0.1358885017421602,0.926829268292683,3.602897695973709,3.602897695973709,61.24926083155306,32.426079263763384
T10,frozen_fresh59,190,136,0.7157894736842105,16,0,160,1,1,1.0,0.4812371758787456,0.5187628241212543,0.2020275462134909,0.1533101045296167,0.8989547038327527,3.8877611271581993,3.8877611271581993,69.97970028884758,31.10208901726559
T11,frozen_fresh59,190,74,0.3894736842105263,19,16,29,1,1,0.4196238384093998,0.2588396525718607,0.3831626593164909,0.0184752968006433,0.6167247386759582,0.5435540069686411,12.19536627783048,4.06512209261016,16.260488370440637,4.06512209261016
T12,frozen_fresh59,190,121,0.6368421052631579,12,0,60,1,1,1.0,0.4673180580568987,0.5326819419431013,0.2047036379561166,0.1951219512195122,0.9059233449477352,3.4900326452281534,3.4900326452281534,38.39035909750969,20.94019587136892
T13,frozen_fresh59,190,142,0.7473684210526316,11,1,72,1,1,0.969385142667856,0.4809009753853176,0.5039113410983125,0.2164417730582395,0.1254355400696864,0.9233449477351916,4.155933805558148,2.077966902779074,24.93560283334889,14.54576831945352
T14,frozen_fresh59,190,127,0.6684210526315789,8,1,111,1,1,1.0,0.4868917393004062,0.5131082606995938,0.2217032732449414,0.1254355400696864,0.926829268292683,6.607871467197452,3.303935733598726,49.559036003980886,23.12755013519108
T15,frozen_fresh59,190,147,0.7736842105263158,12,0,122,1,1,1.0,0.4869342782581258,0.5130657217418741,0.2145340869688856,0.1428571428571428,0.926829268292683,2.808686865066256,2.808686865066256,44.938989841060085,8.426060595198766
T16,frozen_fresh59,190,96,0.5052631578947369,11,0,60,1,1,1.0,0.3903667935058331,0.609633206494167,0.1335383137444958,0.1951219512195122,0.7770034843205574,1.7754972791907315,1.7754972791907315,19.530470071098048,10.652983675144393
T17,frozen_fresh59,190,136,0.7157894736842105,12,6,85,1,1,0.971747943565939,0.4626645752120086,0.5238841735911387,0.1961138774627528,0.1393728222996515,0.8954703832752613,12.946341037122732,3.2365852592806834,42.07560837064887,25.892682074245464
T18,frozen_fresh59,190,155,0.8157894736842105,14,3,143,1,1,0.9888053410185222,0.4959635700113285,0.4984214289331613,0.208146522140427,0.1289198606271777,0.9198606271777005,8.04629879045311,2.682099596817704,45.59569314590095,21.456796774541623
T19,frozen_fresh59,190,175,0.9210526315789472,12,1,77,1,1,0.98876278148783,0.5424079779014908,0.4514275941037058,0.21483556118906,0.1324041811846689,0.902439024390244,7.052081702526408,3.526040851263204,42.31249021515845,42.31249021515845
T20,frozen_fresh59,190,153,0.8052631578947368,13,1,182,1,1,0.9972026255872284,0.5280486500968269,0.4704700563881168,0.2337024642313222,0.1254355400696864,0.926829268292683,7.530076042667357,3.765038021333679,71.5357224053399,45.18045625600414
T21,frozen_fresh59,190,93,0.4894736842105263,26,26,19,1,1,0.3163059632353951,0.2753556092046692,0.1294643756060035,0.0057696189153362,0.397212543554007,0.4564459930313589,17.83315441519065,15.285560927306271,15.285560927306271,12.737967439421894
T22,frozen_fresh59,190,128,0.6736842105263158,14,0,52,1,1,1.0,0.4615923531418492,0.5384076468581507,0.1848855892518746,0.1846689895470383,0.8362369337979094,2.172846394491363,2.172846394491363,21.728463944913624,17.3827711559309
T23,frozen_fresh59,190,110,0.5789473684210527,20,1,54,1,1,0.94558654050397,0.378605835735327,0.5996074187630238,0.1087420295950464,0.2543554006968641,0.7700348432055749,4.48567879514686,2.24283939757343,22.4283939757343,22.4283939757343
T24,frozen_fresh59,190,168,0.8842105263157894,8,0,159,1,1,1.0,0.5083526095842925,0.4916473904157075,0.2249464558043148,0.1254355400696864,0.926829268292683,1.661682675333037,1.661682675333037,29.91028815599466,11.631778727331255
T25,frozen_fresh59,190,109,0.5736842105263158,12,2,44,1,1,0.9189201479006552,0.4300584801335187,0.5319958093028858,0.1647578800759419,0.1951219512195122,0.7770034843205574,3.207534066771152,3.207534066771152,14.433903300470185,14.433903300470185
T26,frozen_fresh59,190,125,0.6578947368421053,14,0,73,1,1,1.0,0.4606170858657643,0.5393829141342357,0.1790669956464833,0.1846689895470383,0.8222996515679443,1.8149265727942825,1.8149265727942825,21.779118873531385,14.519412582354258
T27,frozen_fresh59,190,126,0.6631578947368421,15,0,160,1,1,1.0,0.4513063533826977,0.5486936466173022,0.1762049024925011,0.205574912891986,0.8745644599303136,2.8381796668585224,2.8381796668585224,51.0872340034534,22.70543733486818
T28,frozen_fresh59,190,119,0.6263157894736842,18,6,73,1,1,0.9171971193681606,0.4283766453537394,0.5329502935543018,0.1465528195657774,0.1951219512195122,0.7770034843205574,9.314406976828767,2.328601744207192,27.9432209304863,18.62881395365753
T29,frozen_fresh59,190,94,0.4947368421052631,9,0,63,1,1,1.0,0.4224193356765961,0.5775806643234038,0.1628740536962933,0.1951219512195122,0.7770034843205574,1.6999742672003118,1.6999742672003118,18.699716939203427,15.299768404802805
T30,frozen_fresh59,190,139,0.7315789473684211,17,0,177,1,1,1.0,0.4781570148504204,0.5218429851495796,0.2068519199784189,0.1637630662020905,0.926829268292683,2.45574517963567,2.45574517963567,46.65915841307774,17.190216257449695
T31,frozen_fresh59,190,133,0.7,13,0,44,1,1,1.0,0.4999167156893269,0.5000832843106731,0.1795496374368425,0.1707317073170731,0.8606271777003485,3.124519991523935,3.124519991523935,28.12067992371541,28.12067992371541
T32,frozen_fresh59,190,93,0.4894736842105263,16,3,93,1,1,0.9622049521005184,0.4115042499137511,0.5723320182301841,0.1625143193998482,0.1951219512195122,0.7874564459930313,5.986709284447335,1.9955697614824448,27.93797666075423,5.986709284447335
T33,frozen_fresh59,190,86,0.4526315789473684,12,14,34,1,1,0.5145768527856931,0.3341176259856309,0.3506944119680766,0.027056214038393,0.4564459930313589,0.519163763066202,11.868004610091663,11.868004610091663,18.98880737614666,16.615206454128327
T34,frozen_fresh59,190,137,0.7210526315789474,17,0,86,1,1,1.0,0.4936273666563939,0.506372633343606,0.1791782049210776,0.1602787456445993,0.8606271777003485,3.3843743786142952,3.3843743786142952,43.99686692198584,30.45936940752865
T35,frozen_fresh59,190,85,0.4473684210526316,12,3,62,1,1,0.9565919919447609,0.4181247163332877,0.5629017179171277,0.1545693913893074,0.1951219512195122,0.8432055749128919,5.584066359794891,1.861355453264964,20.4749099859146,14.890843626119707
T36,frozen_fresh59,190,115,0.6052631578947368,18,0,42,1,1,1.0,0.4879658477447431,0.5120341522552568,0.1608646485667629,0.181184668989547,0.818815331010453,2.283217543315096,2.283217543315096,20.548957889835865,15.982522803205672
T37,frozen_fresh59,190,91,0.4789473684210526,14,2,39,1,1,0.9289666154883736,0.3533470373395523,0.6196342996095808,0.0436887664821226,0.289198606271777,0.6445993031358885,5.765363494786309,5.765363494786309,25.944135726538384,11.530726989572615
T38,frozen_fresh59,190,112,0.5894736842105263,15,3,80,1,1,0.967724462653354,0.4270661032148111,0.5586903920524438,0.1691912567902437,0.1951219512195122,0.926829268292683,11.076746237935822,3.692248745978608,47.9992336977219,11.076746237935822
T39,frozen_fresh59,190,121,0.6368421052631579,15,0,61,1,1,1.0,0.4110465974187134,0.5889534025812866,0.1431197933449066,0.1951219512195122,0.7770034843205574,1.564947499146156,1.564947499146156,17.214422490607713,10.954632494023093
T40,frozen_fresh59,190,132,0.6947368421052632,11,0,60,1,1,1.0,0.4652160290787888,0.5347839709212112,0.2032979017435138,0.1707317073170731,0.926829268292683,3.943652087655515,3.943652087655515,43.38017296421066,23.661912525933086
T41,frozen_fresh59,190,118,0.6210526315789474,16,2,112,1,1,0.8992346788223777,0.3963997584386488,0.559180970469503,0.1161937516810527,0.2439024390243902,0.7804878048780488,6.381267954815053,6.381267954815053,47.859509661112895,25.52507181926021
T42,frozen_fresh59,190,82,0.431578947368421,17,0,68,1,1,1.0,0.4007110557508292,0.5992889442491707,0.1368891622990171,0.2926829268292683,0.89198606271777,3.7182293257587937,3.7182293257587937,44.61875190910552,11.15468797727638
T43,frozen_fresh59,190,114,0.6,22,0,52,1,1,1.0,0.4413460179796786,0.5586539820203213,0.1266875480490312,0.205574912891986,0.7630662020905923,3.3587743597790265,3.3587743597790265,33.587743597790265,26.87019487823221
T44,frozen_fresh59,190,139,0.7315789473684211,13,0,71,1,1,1.0,0.4921063409183104,0.5078936590816896,0.1825159260947573,0.1637630662020905,0.8710801393728222,2.7367758090770424,2.7367758090770424,32.841309708924506,16.420654854462253
T45,frozen_fresh59,190,76,0.4,24,18,27,1,1,0.3744486411276103,0.2692899053137227,0.2808362062610611,0.0026952267525337,0.5156794425087108,0.494773519163763,23.193796819137656,15.46253121275844,27.059429622327265,27.059429622327265
T46,frozen_fresh59,190,111,0.5842105263157895,10,1,50,1,1,0.9912337393653784,0.449745336164057,0.5462772116171114,0.1792394840108132,0.1951219512195122,0.8048780487804879,6.0352299172927655,3.017614958646383,30.17614958646383,18.10568975187829
T47,frozen_fresh59,190,126,0.6631578947368421,14,0,77,1,1,1.0,0.4636406857772551,0.536359314222745,0.1766500189784868,0.1881533101045296,0.8362369337979094,1.9330421322317208,1.9330421322317208,23.19650558678065,23.19650558678065
T48,frozen_fresh59,190,107,0.5631578947368421,19,0,62,1,1,1.0,0.4098837486162483,0.5901162513837517,0.1372396848697793,0.1951219512195122,0.7770034843205574,3.982893186146984,3.982893186146984,43.81182504761682,31.863145489175874
T49,frozen_fresh59,190,96,0.5052631578947369,14,0,53,1,1,1.0,0.4486569445086437,0.5513430554913563,0.1817774978115616,0.1951219512195122,0.7874564459930313,2.606412251439364,2.606412251439364,26.064122514393627,23.457710262954265
