scenario_id,seed,selected_idx,exhaustive_idx,holdout_objective,reference_objective,regret,exact
I25,2,20,11,0.2372531923461059,0.2461461217618916,0.0,0
I25,3,20,11,0.2372531923461059,0.2461461217618916,0.0,0
I25,4,20,11,0.2372531923461059,0.2461461217618916,0.0,0
I26,0,1,1,0.8169687969929336,0.8169687969929336,0.0,1
I26,1,1,1,0.8169687969929336,0.8169687969929336,0.0,1
I26,2,1,1,0.8169687969929336,0.8169687969929336,0.0,1
I26,3,1,1,0.8169687969929336,0.8169687969929336,0.0,1
I26,4,1,1,0.8169687969929336,0.8169687969929336,0.0,1
I27,0,1,1,0.876202234091211,0.876202234091211,0.0,1
I27,1,1,1,0.876202234091211,0.876202234091211,0.0,1
I27,2,1,1,0.876202234091211,0.876202234091211,0.0,1
I27,3,1,1,0.876202234091211,0.876202234091211,0.0,1
I27,4,1,1,0.876202234091211,0.876202234091211,0.0,1
I28,0,0,0,0.8131550288055333,0.8131550288055333,0.0,1
I28,1,0,0,0.8131550288055333,0.8131550288055333,0.0,1
I28,2,0,0,0.8131550288055333,0.8131550288055333,0.0,1
I28,3,0,0,0.8131550288055333,0.8131550288055333,0.0,1
I28,4,0,0,0.8131550288055333,0.8131550288055333,0.0,1
I29,0,0,0,0.7740813424029641,0.7740813424029641,0.0,1
I29,1,0,0,0.7740813424029641,0.7740813424029641,0.0,1
I29,2,0,0,0.7740813424029641,0.7740813424029641,0.0,1
I29,3,0,0,0.7740813424029641,0.7740813424029641,0.0,1
I29,4,0,0,0.7740813424029641,0.7740813424029641,0.0,1
I30,0,0,0,1.5926501452533828,1.5926501452533828,0.0,1
I30,1,0,0,1.5926501452533828,1.5926501452533828,0.0,1
I30,2,0,0,1.5926501452533828,1.5926501452533828,0.0,1
I30,3,0,0,1.5926501452533828,1.5926501452533828,0.0,1
I30,4,0,0,1.5926501452533828,1.5926501452533828,0.0,1
I31,0,41,41,0.1649893636393676,0.1649893636393676,0.0,1
I31,1,41,41,0.1649893636393676,0.1649893636393676,0.0,1
I31,2,41,41,0.1649893636393676,0.1649893636393676,0.0,1
I31,3,41,41,0.1649893636393676,0.1649893636393676,0.0,1
I31,4,41,41,0.1649893636393676,0.1649893636393676,0.0,1
I32,0,0,0,0.9841691739509296,0.9841691739509296,0.0,1
I32,1,0,0,0.9841691739509296,0.9841691739509296,0.0,1
I32,2,0,0,0.9841691739509296,0.9841691739509296,0.0,1
I32,3,0,0,0.9841691739509296,0.9841691739509296,0.0,1
I32,4,0,0,0.9841691739509296,0.9841691739509296,0.0,1
I33,0,0,0,1.1819163266626236,1.1819163266626236,0.0,1
I33,1,0,0,1.1819163266626236,1.1819163266626236,0.0,1
I33,2,0,0,1.1819163266626236,1.1819163266626236,0.0,1
I33,3,0,0,1.1819163266626236,1.1819163266626236,0.0,1
I33,4,0,0,1.1819163266626236,1.1819163266626236,0.0,1
I34,0,0,0,0.5113722352377804,0.5113722352377804,0.0,1
I34,1,0,0,0.5113722352377804,0.5113722352377804,0.0,1
I34,2,0,0,0.5113722352377804,0.5113722352377804,0.0,1
I34,3,0,0,0.5113722352377804,0.5113722352377804,0.0,1
I34,4,0,0,0.5113722352377804,0.5113722352377804,0.0,1
I35,0,3,3,1.3913454602604094,1.3913454602604094,0.0,1
I35,1,3,3,1.3913454602604094,1.3913454602604094,0.0,1
I35,2,3,3,1.3913454602604094,1.3913454602604094,0.0,1
I35,3,3,3,1.3913454602604094,1.3913454602604094,0.0,1
I35,4,3,3,1.3913454602604094,1.3913454602604094,0.0,1
I36,0,1,1,1.9918045200426493,1.9918045200426493,0.0,1
I36,1,1,1,1.9918045200426493,1.9918045200426493,0.0,1
I36,2,1,1,1.9918045200426493,1.9918045200426493,0.0,1
I36,3,1,1,1.9918045200426493,1.9918045200426493,0.0,1
I36,4,1,1,1.9918045200426493,1.9918045200426493,0.0,1
I37,0,0,0,1.3829389931877782,1.3829389931877782,0.0,1
I37,1,0,0,1.3829389931877782,1.3829389931877782,0.0,1
I37,2,0,0,1.3829389931877782,1.3829389931877782,0.0,1
I37,3,0,0,1.3829389931877782,1.3829389931877782,0.0,1
I37,4,0,0,1.3829389931877782,1.3829389931877782,0.0,1
I38,0,0,0,1.040103604585737,1.040103604585737,0.0,1
I38,1,0,0,1.040103604585737,1.040103604585737,0.0,1
I38,2,0,0,1.040103604585737,1.040103604585737,0.0,1
I38,3,0,0,1.040103604585737,1.040103604585737,0.0,1
I38,4,0,0,1.040103604585737,1.040103604585737,0.0,1
I39,0,27,19,0.8461163458956683,0.8476854486404056,0.0,0
I39,1,27,19,0.8461163458956683,0.8476854486404056,0.0,0
I39,2,27,19,0.8461163458956683,0.8476854486404056,0.0,0
I39,3,27,19,0.8461163458956683,0.8476854486404056,0.0,0
I39,4,27,19,0.8461163458956683,0.8476854486404056,0.0,0
I40,0,0,0,0.7069924819083441,0.7069924819083441,0.0,1
I40,1,0,0,0.7069924819083441,0.7069924819083441,0.0,1
I40,2,0,0,0.7069924819083441,0.7069924819083441,0.0,1
I40,3,0,0,0.7069924819083441,0.7069924819083441,0.0,1
I40,4,0,0,0.7069924819083441,0.7069924819083441,0.0,1
I41,0,0,0,0.914870935624618,0.914870935624618,0.0,1
I41,1,0,0,0.914870935624618,0.914870935624618,0.0,1
I41,2,0,0,0.914870935624618,0.914870935624618,0.0,1
I41,3,0,0,0.914870935624618,0.914870935624618,0.0,1
I41,4,0,0,0.914870935624618,0.914870935624618,0.0,1
I42,0,0,0,0.9929295882334872,0.9929295882334872,0.0,1
I42,1,0,0,0.9929295882334872,0.9929295882334872,0.0,1
I42,2,0,0,0.9929295882334872,0.9929295882334872,0.0,1
I42,3,0,0,0.9929295882334872,0.9929295882334872,0.0,1
I42,4,0,0,0.9929295882334872,0.9929295882334872,0.0,1
I43,0,1,1,0.8961822120968179,0.8961822120968179,0.0,1
I43,1,1,1,0.8961822120968179,0.8961822120968179,0.0,1
I43,2,1,1,0.8961822120968179,0.8961822120968179,0.0,1
I43,3,1,1,0.8961822120968179,0.8961822120968179,0.0,1
I43,4,1,1,0.8961822120968179,0.8961822120968179,0.0,1
I44,0,1,1,2.397671886922239,2.397671886922239,0.0,1
I44,1,1,1,2.397671886922239,2.397671886922239,0.0,1
I44,2,1,1,2.397671886922239,2.397671886922239,0.0,1
I44,3,1,1,2.397671886922239,2.397671886922239,0.0,1
I44,4,1,1,2.397671886922239,2.397671886922239,0.0,1
I45,0,1,13,1.0269393963998852,1.0272666181174486,0.0,0
I45,1,1,13,1.0269393963998852,1.0272666181174486,0.0,0
I45,2,1,13,1.0269393963998852,1.0272666181174486,0.0,0
I45,3,1,13,1.0269393963998852,1.0272666181174486,0.0,0
I45,4,1,13,1.0269393963998852,1.0272666181174486,0.0,0
I46,0,0,0,0.5229042086014393,0.5229042086014393,0.0,1
I46,1,0,0,0.5229042086014393,0.5229042086014393,0.0,1
I46,2,0,0,0.5229042086014393,0.5229042086014393,0.0,1
I46,3,0,0,0.5229042086014393,0.5229042086014393,0.0,1
I46,4,0,0,0.5229042086014393,0.5229042086014393,0.0,1
I47,0,55,35,0.6119157570535853,0.6100485369181305,0.003060773073709198,0
I47,1,55,35,0.6119157570535853,0.6100485369181305,0.003060773073709198,0
I47,2,55,35,0.6119157570535853,0.6100485369181305,0.003060773073709198,0
I47,3,55,35,0.6119157570535853,0.6100485369181305,0.003060773073709198,0
I47,4,55,35,0.6119157570535853,0.6100485369181305,0.003060773073709198,0
I48,0,0,0,0.9931323308901072,0.9931323308901072,0.0,1
I48,1,0,0,0.9931323308901072,0.9931323308901072,0.0,1
I48,2,0,0,0.9931323308901072,0.9931323308901072,0.0,1
I48,3,0,0,0.9931323308901072,0.9931323308901072,0.0,1
I48,4,0,0,0.9931323308901072,0.9931323308901072,0.0,1
I49,0,0,0,0.8952469536167668,0.8952469536167668,0.0,1
I49,1,0,0,0.8952469536167668,0.8952469536167668,0.0,1
