scenario_id,design,K,mu_max,rho,arrival_scv,mean_jump_fraction,tau,qH,beta,jump_cv,cloud_cost_multiplier,deactivation_mean,lambda_H,lambda_L,mean_H,mean_L,cv_H,cv_L,cW,cB,cL,cC,policy_count,diffusion_best_idx,exhaustive_train_idx,holdout_oracle_idx,single_train_idx,selection_idx,final_idx,selection_candidate_count,certified,fallback,certificate_stage_reps,certificate_ambiguous_count,certificate_simulation_count,algorithm_simulation_count,exhaustive_simulation_count,work_reduction,holdout_regret_vs_exhaustive,holdout_regret_vs_oracle,hysteresis_gain_vs_best_single,adaptive_gain_vs_best_single,exhaustive_holdout_objective,adaptive_holdout_objective,single_holdout_objective,selected_alpha_on,selected_alpha_off,exhaustive_alpha_on,exhaustive_alpha_off,pareto_count,distinct_weight_optima,robust_idx,robust_max_additive_regret,equal_weight_idx,elapsed_seconds
I45,frozen_iid59,65.15014943896674,195.4504483169002,0.6491291770125495,1.0,0.0799579926348873,3.765501790956412,0.3364174758366143,1.214229999590084,1.9701115525465411,2.807141735182969,0.9068239362281898,7.124775920547162,19.01369472506257,5.990666444353115,4.427883893652303,1.9701115525465411,1.9701115525465411,1.0,10.0,2.5,0.25,190,0,13,32,0,1,1,37,1,0,15,0,399,725,3830,0.8107049608355091,0.0,0.0109104943146052,-0.0069789790461149,-0.0066582196782328,1.0272666181174486,1.0269393963998852,1.0201470333477582,6.515014943896674,3.257507471948337,16.287537359741684,13.030029887793347,100,5,72,0.4559150450637432,0,20.337698698043823
I46,frozen_iid59,53.18835540081636,159.5650662024491,0.7011471550558697,4.0,0.0769123629293965,0.2670426086767828,0.4295542767762423,1.2358819090528157,1.102848862324804,0.2577623398777631,1.6950463239158324,10.21537899587894,18.353955717838197,4.704468408336114,3.477215780074519,1.102848862324804,1.102848862324804,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,32,1,0,20,0,232,518,3830,0.8647519582245431,0.0,0.0,0.0095141399485563,0.0095141399485563,0.5229042086014393,0.5229042086014393,0.5279269797695858,2.659417770040818,2.659417770040818,2.659417770040818,2.659417770040818,121,8,52,0.4687444999737558,0,21.90234136581421
I47,frozen_iid59,52.84914210406323,158.5474263121897,0.6889814219884758,1.0,0.0754270085886121,1.621383214582253,0.2064584927844532,0.7377514512521105,1.9295643811769296,1.7178095294392874,1.159977537658259,4.919679312499564,25.58306678105057,4.584190599691552,3.3883147910763647,1.9295643811769296,1.9295643811769296,1.0,10.0,2.5,0.25,190,0,35,21,7,35,35,43,1,0,20,0,495,869,3830,0.7731070496083551,0.0,0.0166448493916214,-0.0079580047908867,-0.0079580047908867,0.6100485369181305,0.6100485369181305,0.6052320969906803,21.139656841625296,21.139656841625296,21.139656841625296,21.139656841625296,123,8,60,0.4778549728161889,0,21.55457234382629
I48,frozen_iid59,35.712664603081606,107.13799380924482,0.8891604700201026,1.0,0.0574376269103907,0.5517965535185686,0.2970937953602504,1.3224249440089515,0.5036753004711265,1.807505345283108,1.6126212011060144,11.997773385124535,38.40461045463895,2.358938311264878,1.7435630996305622,0.5036753004711265,0.5036753004711265,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,32,1,0,20,0,255,541,3830,0.8587467362924281,0.0,0.0,0.0044277680369482,0.0044277680369482,0.9931323308901072,0.9931323308901072,0.997549247563752,1.7856332301540805,1.7856332301540805,1.7856332301540805,1.7856332301540805,92,7,50,0.415733519816845,4,33.99472117424011
I49,frozen_iid59,34.867914289751845,104.60374286925554,0.820181793900458,1.0,0.0644205088062268,1.8233911021679985,0.2053120384059459,0.9328127585030176,1.440788868453322,0.3373080863707069,1.4250166416943415,6.819048876216358,35.70959603190152,2.583140096491381,1.909277462624064,1.440788868453322,1.440788868453322,1.0,10.0,2.5,0.25,190,0,0,0,0,1,3,34,0,1,20,3,680,982,3830,0.743603133159269,0.01944583501694,0.01944583501694,0.012413485132606,-0.00679095930046,0.8952469536167668,0.9126557781762166,0.9064997750976522,5.230187143462777,1.7433957144875922,1.7433957144875922,1.7433957144875922,105,7,81,0.435590067622911,0,28.528131008148197
I50,frozen_iid59,33.58056252971161,100.7416875891348,0.5587507753258484,4.0,0.0862685552434431,2.373169148404665,0.4264224792061382,1.1355741168490394,1.030416943335213,1.108097544158008,0.8244151038580321,7.204919271406893,13.11173204686878,3.33148860575537,2.4624046216452737,1.030416943335213,1.030416943335213,1.0,10.0,2.5,0.25,190,0,0,0,2,0,0,33,1,0,15,0,278,572,3830,0.8506527415143603,0.0,0.0,0.0334407888084806,0.0334407888084806,1.3304745586989888,1.3304745586989888,1.3765060053163791,1.6790281264855804,1.6790281264855804,1.6790281264855804,1.6790281264855804,103,8,83,0.4433579092137198,0,14.33759379386902
I31,frozen_iid59,37.21253687095291,111.63761061285874,0.565227877855103,1.0,0.0636052548384656,0.4897070087180292,0.4739609542016801,0.8310437126870955,0.9493380478675292,0.9908264390416583,0.7624256199573021,10.987441005974892,16.498744119063563,2.721949824492172,2.0118759572333444,0.9493380478675292,0.9493380478675292,1.0,10.0,2.5,0.25,190,33,41,62,8,44,43,45,0,1,20,18,900,1290,3830,0.6631853785900783,0.0017546486594846,0.0059764125657309,0.0047010808032653,0.0029546808889102,0.1649893636393676,0.1652788620051066,0.1657686554834439,16.74564159192881,14.885014748381163,16.74564159192881,11.163761061285872,100,10,30,0.3389172582442497,8,22.81333351135254
I32,frozen_iid59,77.6663156281819,232.9989468845457,0.8771380441777048,4.0,0.071193396806743,0.5500804008080367,0.2460317708717684,1.2143778624181367,1.789239394001386,1.842801712903012,1.5197948840317688,7.907566272479891,32.78563565786601,6.358728151090135,4.699929502979665,1.789239394001386,1.789239394001386,1.0,10.0,2.5,0.25,190,0,0,0,0,0,1,34,0,1,20,1,680,982,3830,0.743603133159269,0.0149777445697667,0.0149777445697667,-0.0031338463509382,-0.0181585288708702,0.9841691739509296,0.9989098084518052,0.9810945742993364,7.766631562818191,3.8833157814090953,3.8833157814090953,3.8833157814090953,124,7,62,0.4486273829079898,0,27.49841332435608
I33,frozen_iid59,54.96422412599159,164.89267237797475,0.8110441832656121,4.0,0.0831347563079435,1.470023079734997,0.7379961988436694,0.7355468232888539,1.7351830335078802,1.383400932603673,0.3506170994776466,18.781895728335886,9.021355703257722,5.254852985124924,3.884021771614074,1.7351830335078802,1.7351830335078802,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,36,1,0,10,0,231,549,3830,0.8566579634464752,0.0,0.0,0.0006283795280385,0.0006283795280385,1.1819163266626236,1.1819163266626236,1.1826594856720605,2.74821120629958,2.74821120629958,2.74821120629958,2.74821120629958,157,6,139,0.4829322646430861,0,22.60537338256836
I34,frozen_iid59,44.73394196340595,134.20182589021783,0.591747648506796,1.0,0.0874036396217383,1.55003932791295,0.3018808006134755,0.9767128044892422,0.9853603505984784,1.2402632892117047,1.7721447109194526,5.331702770755311,16.681647276754845,4.496395743563686,3.3234229408948983,0.9853603505984784,0.9853603505984784,1.0,10.0,2.5,0.25,190,0,0,3,1,0,5,32,0,1,20,9,640,926,3830,0.75822454308094,0.0195678549877205,0.0291510211364698,0.0132920095274585,-0.0060157493453332,0.5113722352377804,0.5213786929816598,0.5182609649212232,6.710091294510892,6.710091294510892,2.2366970981702976,2.2366970981702976,102,6,42,0.40975486857511,3,16.319114446640015
