scenario_id,dr_bgs,local_only,improvement_vs_local_only,static_half,improvement_vs_static_half,fixed_deadband_05_04,improvement_vs_fixed_deadband_05_04,best_single_training,improvement_vs_best_single_training
R23,0.3262272621786774,0.9953945767224536,0.6722633719254837,0.5490625589449251,0.40584682589620835,0.5357161395174223,0.39104455118237474,0.3358257289960363,0.028581689812909376
R24,0.8334905066721984,1.155128640357039,0.2784435624290516,0.9851295823111176,0.15392805003700466,0.9518314604496256,0.12432973556213978,0.8376669683972751,0.0049858259697975115
V01,0.5964595900233506,0.6095775117518983,0.021519694338538568,0.6077997050691853,0.01865765144546085,0.6163725367991544,0.03230667427074618,0.602374285034034,0.009818969962088015
V02,1.3367852065116483,2.9892663291081805,0.5528049162115087,1.9139464988640056,0.3015556039288051,1.8451487004566225,0.2755135636597573,1.3265164576695,-0.007741139420304637
V03,0.8174518308153209,1.3291355891840848,0.3849748381825143,1.0417101304519425,0.21527898508515786,1.0080694081450183,0.189091719071665,0.8210927594843856,0.0044342476864015915
V04,1.0980722439867323,1.700775092618796,0.3543695173146275,1.327300004473022,0.1727022976823541,1.2959868525127942,0.1527134385216366,1.0526994663341709,-0.043101359033232575
V05,0.5619898955880516,0.5947191731447258,0.05503316360831281,0.5759368762503639,0.0242161619396802,0.5678723363861097,0.010358738084502323,0.5587567493407585,-0.005786321598992188
V06,1.800456124082865,2.3223353506825037,0.22472173385564898,2.0581042539565613,0.12518711303296995,2.009925116354564,0.10421731166363887,1.744868867788902,-0.03185755521238864
V07,2.618495524956885,3.810636441282455,0.3128456190180032,2.899240578080911,0.09683399689095797,2.857897726368619,0.08376863846556536,2.624062992276541,0.0021216972824367416
V08,1.665462629242532,2.057024390613507,0.190353484945403,1.7819687866271414,0.06538058256627985,1.7604965439130444,0.05398131282852796,1.6624037187149008,-0.0018400527460296758
V09,0.9833489793371976,1.3214997846564331,0.25588411685375256,1.1179309319775717,0.12038485454759215,1.1017794872334692,0.10749020949159854,0.9737918152163264,-0.009814381237891226
V10,0.4592591005063917,0.6529189377713469,0.29660624935461,0.5308272048197349,0.1348237310814679,0.5269759703446705,0.1285008684437515,0.4881315050439807,0.05914882411654127
V11,1.42848810520277,2.5983247231385227,0.45022725894040844,1.7749176029293088,0.19518060847151128,1.6762169948554595,0.14779046532340592,1.4204513139855284,-0.005657913888433022
V12,1.165852286502597,1.4250884467294438,0.18190882174491677,1.224822507703046,0.04814593202654139,1.214628993233651,0.04015770000780061,1.158957612938276,-0.0059490299622272395
