scenario_id,seed,selected_idx,exhaustive_idx,holdout_objective,reference_objective,regret,exact
T07,2,1,1,2.288572426073784,2.288572426073784,0.0,1
T07,3,1,1,2.288572426073784,2.288572426073784,0.0,1
T07,4,1,1,2.288572426073784,2.288572426073784,0.0,1
T08,0,0,0,0.6514332367369173,0.6514332367369173,0.0,1
T08,1,0,0,0.6514332367369173,0.6514332367369173,0.0,1
T08,2,0,0,0.6514332367369173,0.6514332367369173,0.0,1
T08,3,0,0,0.6514332367369173,0.6514332367369173,0.0,1
T08,4,0,0,0.6514332367369173,0.6514332367369173,0.0,1
T09,0,0,0,2.723827882000393,2.723827882000393,0.0,1
T09,1,0,0,2.723827882000393,2.723827882000393,0.0,1
T09,2,0,0,2.723827882000393,2.723827882000393,0.0,1
T09,3,0,0,2.723827882000393,2.723827882000393,0.0,1
T09,4,0,0,2.723827882000393,2.723827882000393,0.0,1
T10,0,0,0,1.3764991137805276,1.3764991137805276,0.0,1
T10,1,0,0,1.3764991137805276,1.3764991137805276,0.0,1
T10,2,0,0,1.3764991137805276,1.3764991137805276,0.0,1
T10,3,0,0,1.3764991137805276,1.3764991137805276,0.0,1
T10,4,0,0,1.3764991137805276,1.3764991137805276,0.0,1
T11,0,0,0,0.1964833340537957,0.1964833340537957,0.0,1
T11,1,0,0,0.1964833340537957,0.1964833340537957,0.0,1
T11,2,0,0,0.1964833340537957,0.1964833340537957,0.0,1
T11,3,0,0,0.1964833340537957,0.1964833340537957,0.0,1
T11,4,0,0,0.1964833340537957,0.1964833340537957,0.0,1
T12,0,6,6,0.5651324283787369,0.5651324283787369,0.0,1
T12,1,6,6,0.5651324283787369,0.5651324283787369,0.0,1
T12,2,6,6,0.5651324283787369,0.5651324283787369,0.0,1
T12,3,6,6,0.5651324283787369,0.5651324283787369,0.0,1
T12,4,6,6,0.5651324283787369,0.5651324283787369,0.0,1
T13,0,0,0,0.5259061210610897,0.5259061210610897,0.0,1
