rho,qH,tau,method,seed,idx,vh,vl,uh,ul,cert,meanBH,meanBL
0.45,0.5,0.5,G,0,118,150,145,1.0,0.9890898135310887,0,0.16215264054223918,0.12242750892974293
0.45,0.5,0.5,G,1,104,150,141,1.0,0.972200022205544,0,0.16060373754130278,0.11877084822409761
0.45,0.5,0.5,G,2,118,150,145,1.0,0.9890898135310887,0,0.16215264054223918,0.12242750892974293
0.45,0.5,0.5,G,3,141,150,144,1.0,0.985181478885102,0,0.15759426745337352,0.11396023102692074
0.45,0.5,0.5,G,4,119,150,143,1.0,0.9810344303654225,0,0.16195874308009728,0.11852164729651271
0.45,0.5,2.0,DR,0,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,DR,1,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,DR,2,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,DR,3,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,DR,4,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,G,0,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,G,1,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,G,2,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,G,3,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,G,4,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.8,0.5,DR,0,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,DR,1,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,DR,2,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,DR,3,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,DR,4,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,G,0,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,G,1,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,G,2,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,G,3,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,G,4,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,2.0,DR,0,3,150,134,1.0,0.9377894259935293,0,0.1749963235105253,0.11530284678031634
0.45,0.8,2.0,DR,1,3,150,134,1.0,0.9377894259935293,0,0.1749963235105253,0.11530284678031634
0.45,0.8,2.0,DR,2,3,150,134,1.0,0.9377894259935293,0,0.1749963235105253,0.11530284678031634
0.45,0.8,2.0,DR,3,3,150,134,1.0,0.9377894259935293,0,0.1749963235105253,0.11530284678031634
0.45,0.8,2.0,DR,4,3,150,134,1.0,0.9377894259935293,0,0.1749963235105253,0.11530284678031634
0.45,0.8,2.0,G,0,0,150,135,1.0,0.9429425651637531,0,0.17414700516454312,0.1150735234608847
0.45,0.8,2.0,G,1,0,150,135,1.0,0.9429425651637531,0,0.17414700516454312,0.1150735234608847
0.45,0.8,2.0,G,2,0,150,135,1.0,0.9429425651637531,0,0.17414700516454312,0.1150735234608847
0.45,0.8,2.0,G,3,0,150,135,1.0,0.9429425651637531,0,0.17414700516454312,0.1150735234608847
0.45,0.8,2.0,G,4,0,150,135,1.0,0.9429425651637531,0,0.17414700516454312,0.1150735234608847
