scenario_id,rho,qH,tau,init_seed,selected_idx,baseline_idx,vc,vh,vl,uc,uh,ul,cert,mean_ce,mean_dbh,mean_dbl
BG06,0.7,0.8,2.0,2,21,52,100,14,43,0.7472540337921116,0.15688285617958464,0.37283899866090603,0,0.49672431533436506,-0.005955350392195788,-0.023421857145637714
BG06,0.7,0.8,2.0,3,21,52,100,14,43,0.7472540337921116,0.15688285617958464,0.37283899866090603,0,0.49672431533436506,-0.005955350392195788,-0.023421857145637714
BG06,0.7,0.8,2.0,4,21,52,100,14,43,0.7472540337921116,0.15688285617958464,0.37283899866090603,0,0.49672431533436506,-0.005955350392195788,-0.023421857145637714
BG07,0.9,0.2,0.5,0,14,52,88,41,42,0.6727044573500587,0.3587077179606658,0.3657836838622448,0,0.1537536848968094,-0.021341672768692477,-0.019079821496588188
BG07,0.9,0.2,0.5,1,14,52,88,41,42,0.6727044573500587,0.3587077179606658,0.3657836838622448,0,0.1537536848968094,-0.021341672768692477,-0.019079821496588188
BG07,0.9,0.2,0.5,2,14,52,88,41,42,0.6727044573500587,0.3587077179606658,0.3657836838622448,0,0.1537536848968094,-0.021341672768692477,-0.019079821496588188
BG07,0.9,0.2,0.5,3,14,52,88,41,42,0.6727044573500587,0.3587077179606658,0.3657836838622448,0,0.1537536848968094,-0.021341672768692477,-0.019079821496588188
BG07,0.9,0.2,0.5,4,14,52,88,41,42,0.6727044573500587,0.3587077179606658,0.3657836838622448,0,0.1537536848968094,-0.021341672768692477,-0.019079821496588188
BG08,0.9,0.2,2.0,0,1,52,88,44,46,0.6727044573500587,0.3798740846363575,0.39388512740138276,0,0.4753765209628108,-0.01935111693858019,-0.018740167663642383
BG08,0.9,0.2,2.0,1,1,52,88,44,46,0.6727044573500587,0.3798740846363575,0.39388512740138276,0,0.4753765209628108,-0.01935111693858019,-0.018740167663642383
BG08,0.9,0.2,2.0,2,1,52,88,44,46,0.6727044573500587,0.3798740846363575,0.39388512740138276,0,0.4753765209628108,-0.01935111693858019,-0.018740167663642383
BG08,0.9,0.2,2.0,3,1,52,88,44,46,0.6727044573500587,0.3798740846363575,0.39388512740138276,0,0.4753765209628108,-0.01935111693858019,-0.018740167663642383
BG08,0.9,0.2,2.0,4,1,52,88,44,46,0.6727044573500587,0.3798740846363575,0.39388512740138276,0,0.4753765209628108,-0.01935111693858019,-0.018740167663642383
BG09,0.9,0.5,0.5,0,1,52,111,20,29,0.8132783000514319,0.20413450949647902,0.2719837914820581,0,0.26064565765922204,-0.0305061323466386,-0.03486945777155835
BG09,0.9,0.5,0.5,1,1,52,111,20,29,0.8132783000514319,0.20413450949647902,0.2719837914820581,0,0.26064565765922204,-0.0305061323466386,-0.03486945777155835
BG09,0.9,0.5,0.5,2,1,52,111,20,29,0.8132783000514319,0.20413450949647902,0.2719837914820581,0,0.26064565765922204,-0.0305061323466386,-0.03486945777155835
BG09,0.9,0.5,0.5,3,1,52,111,20,29,0.8132783000514319,0.20413450949647902,0.2719837914820581,0,0.26064565765922204,-0.0305061323466386,-0.03486945777155835
BG09,0.9,0.5,0.5,4,1,52,111,20,29,0.8132783000514319,0.20413450949647902,0.2719837914820581,0,0.26064565765922204,-0.0305061323466386,-0.03486945777155835
BG10,0.9,0.5,2.0,0,3,52,96,33,45,0.7226758037179941,0.3012951729245384,0.3868893373287658,0,0.5707754278674487,-0.02379104768485294,-0.03042821407591326
BG10,0.9,0.5,2.0,1,3,52,96,33,45,0.7226758037179941,0.3012951729245384,0.3868893373287658,0,0.5707754278674487,-0.02379104768485294,-0.03042821407591326
BG10,0.9,0.5,2.0,2,3,52,96,33,45,0.7226758037179941,0.3012951729245384,0.3868893373287658,0,0.5707754278674487,-0.02379104768485294,-0.03042821407591326
BG10,0.9,0.5,2.0,3,3,52,96,33,45,0.7226758037179941,0.3012951729245384,0.3868893373287658,0,0.5707754278674487,-0.02379104768485294,-0.03042821407591326
BG10,0.9,0.5,2.0,4,3,52,96,33,45,0.7226758037179941,0.3012951729245384,0.3868893373287658,0,0.5707754278674487,-0.02379104768485294,-0.03042821407591326
BG11,0.9,0.8,0.5,0,6,52,109,7,30,0.8014588663064482,0.09817408641811863,0.27935396399107515,0,0.3117373667297858,-0.008637896091914102,-0.04253521498450019
BG11,0.9,0.8,0.5,1,6,52,109,7,30,0.8014588663064482,0.09817408641811863,0.27935396399107515,0,0.3117373667297858,-0.008637896091914102,-0.04253521498450019
BG11,0.9,0.8,0.5,2,6,52,109,7,30,0.8014588663064482,0.09817408641811863,0.27935396399107515,0,0.3117373667297858,-0.008637896091914102,-0.04253521498450019
BG11,0.9,0.8,0.5,3,6,52,109,7,30,0.8014588663064482,0.09817408641811863,0.27935396399107515,0,0.3117373667297858,-0.008637896091914102,-0.04253521498450019
BG11,0.9,0.8,0.5,4,6,52,109,7,30,0.8014588663064482,0.09817408641811863,0.27935396399107515,0,0.3117373667297858,-0.008637896091914102,-0.04253521498450019
BG12,0.9,0.8,2.0,0,0,52,103,10,36,0.7654976071856543,0.1239877874351651,0.32300118909728515,0,0.5982775057334987,-0.011490125972086318,-0.0413792764475604
BG12,0.9,0.8,2.0,1,0,52,103,10,36,0.7654976071856543,0.1239877874351651,0.32300118909728515,0,0.5982775057334987,-0.011490125972086318,-0.0413792764475604
BG12,0.9,0.8,2.0,2,0,52,103,10,36,0.7654976071856543,0.1239877874351651,0.32300118909728515,0,0.5982775057334987,-0.011490125972086318,-0.0413792764475604
BG12,0.9,0.8,2.0,3,0,52,103,10,36,0.7654976071856543,0.1239877874351651,0.32300118909728515,0,0.5982775057334987,-0.011490125972086318,-0.0413792764475604
BG12,0.9,0.8,2.0,4,0,52,103,10,36,0.7654976071856543,0.1239877874351651,0.32300118909728515,0,0.5982775057334987,-0.011490125972086318,-0.0413792764475604
