K,rho,qH,tau,idx,meanBH,meanBL,vh,vl,uh,ul,cert
80.0,0.9,0.2,2.0,0,0.1490215893354147,0.13719188275889482,98,88,0.9975686631760574,0.9364310974388407,0
80.0,0.9,0.5,0.5,1,0.10563505620000317,0.03478551022628625,96,28,0.9889955060138118,0.37866700471726733,0
80.0,0.9,0.5,2.0,2,0.15928225766149295,0.11001449144790586,100,65,1.0,0.7427062214685488,0
80.0,0.9,0.8,0.5,0,0.24128439265343796,0.01583490415343351,100,10,1.0,0.17622259774002266,0
80.0,0.9,0.8,2.0,21,0.2426948083318243,0.054471874756932735,100,40,1.0,0.5027908495776652,0
100.0,0.7,0.2,0.5,54,0.061060391379519074,0.05384691742468762,79,45,0.8650563042946708,0.552719811226064,0
100.0,0.7,0.2,2.0,14,0.08834456458995735,0.08537642253084757,87,72,0.9289269538145705,0.8052063725088184,0
100.0,0.7,0.5,0.5,54,0.08892542082490379,0.047273939555482175,99,37,0.9997468539670226,0.47235164055168316,0
100.0,0.7,0.5,2.0,15,0.09884431661989408,0.07384463495139514,97,60,0.9937700284616936,0.6967052312971226,0
100.0,0.7,0.8,0.5,0,0.12500746361772946,0.01709094353399492,98,14,0.9975686631760574,0.22372798137056774,0
100.0,0.7,0.8,2.0,2,0.14702656494597235,0.05915402082099772,99,50,0.9997468539670226,0.601678870496699,0
100.0,0.9,0.2,0.5,21,0.05503550225339913,0.04197996769794773,67,34,0.7608014653773982,0.4415332677509589,0
100.0,0.9,0.2,2.0,14,0.13205459426988506,0.13026768682914106,91,83,0.9580164043716077,0.8977350899644717,0
100.0,0.9,0.5,0.5,5,0.08871231795128724,0.028348562783754926,90,21,0.9509953107785141,0.30291537935054064,0
100.0,0.9,0.5,2.0,1,0.1319591481780034,0.08282027790400463,96,57,0.9889955060138118,0.6686089833686168,0
100.0,0.9,0.8,0.5,0,0.23670446739553216,0.009812706377234165,100,9,1.0,0.1639822550296352,0
100.0,0.9,0.8,2.0,1,0.23666122906585849,0.044287071042605444,100,33,1.0,0.43117275077756323,0
120.0,0.7,0.2,0.5,43,0.032020430374427235,0.03179303356829334,52,26,0.6209945198220415,0.3573120631001036,0
120.0,0.7,0.2,2.0,0,0.060757864905904374,0.059452391504882386,71,47,0.7964258107492681,0.5724185151099548,0
120.0,0.7,0.5,0.5,33,0.05798584981974614,0.026262662213631542,79,24,0.8650563042946708,0.3357354892709986,0
120.0,0.7,0.5,2.0,25,0.08438585861115479,0.06269697060646806,84,52,0.9056897100260538,0.6209945198220415,0
120.0,0.7,0.8,0.5,1,0.11128712471692014,0.007419878409746754,96,2,0.9889955060138118,0.07038393247107011,0
120.0,0.7,0.8,2.0,7,0.12039012073376494,0.052697247141918105,97,40,0.9937700284616936,0.5027908495776652,0
120.0,0.9,0.2,0.5,35,0.04870948670029935,0.03554605179680013,70,28,0.7875935795104634,0.37866700471726733,0
120.0,0.9,0.2,2.0,9,0.11513813066517369,0.1100704926896191,90,75,0.9509953107785141,0.8312202619006582,0
120.0,0.9,0.5,0.5,2,0.07200294086093491,0.019527591026662756,83,13,0.8977350899644717,0.21204067708744978,0
120.0,0.9,0.5,2.0,9,0.11648261782640323,0.07058689658262389,90,51,0.9509953107785141,0.6113558348383622,0
120.0,0.9,0.8,0.5,5,0.23137185766048599,0.004825510413006075,100,4,1.0,0.09925715671265992,0
120.0,0.9,0.8,2.0,0,0.23675180820388186,0.03873229812983611,100,23,1.0,0.3248587327751031,0
