scenario_id,rho,qH,tau,method,init_seed,selected_idx,exhaustive_train_idx,vc,vh,vl,uc,uh,ul,cert,mean_cost_ex,max_cost_ex,mean_dbh,mean_dbl
BG08,0.9,0.2,2.0,Guarded-GP,0,1,23,83,40,45,0.6409500400579764,0.3516106498691744,0.3868893373287658,0,0.3405275457342569,5.964084752599334,-0.026140097539130863,-0.023399622014158416
BG08,0.9,0.2,2.0,Guarded-GP,1,0,23,87,46,41,0.6663849800426045,0.39388512740138276,0.3587077179606658,0,0.38291908780626327,5.964084752599334,-0.02891886840467362,-0.025862192589188347
BG08,0.9,0.2,2.0,Guarded-GP,2,1,23,83,40,45,0.6409500400579764,0.3516106498691744,0.3868893373287658,0,0.3405275457342569,5.964084752599334,-0.026140097539130863,-0.023399622014158416
BG08,0.9,0.2,2.0,Guarded-GP,3,0,23,87,46,41,0.6663849800426045,0.39388512740138276,0.3587077179606658,0,0.38291908780626327,5.964084752599334,-0.02891886840467362,-0.025862192589188347
BG08,0.9,0.2,2.0,Guarded-GP,4,0,23,87,46,41,0.6663849800426045,0.39388512740138276,0.3587077179606658,0,0.38291908780626327,5.964084752599334,-0.02891886840467362,-0.025862192589188347
BG09,0.9,0.5,0.5,DR-BGS,0,1,1,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,DR-BGS,1,1,1,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,DR-BGS,2,1,1,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,DR-BGS,3,1,1,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,DR-BGS,4,1,1,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,Guarded-GP,0,1,1,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,Guarded-GP,1,1,1,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,Guarded-GP,2,1,1,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG09,0.9,0.5,0.5,Guarded-GP,3,1,1,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
