scenario_id,budget,seed,method,selected_idx,regret_vs_exhaustive_training_workflow,exact_training_policy_recovery
F28,12,2,standard_GP,0,0.0,1
F28,12,2,guarded_GP,0,0.0,1
F28,12,2,residual_GP,0,0.0,1
F28,12,2,DR_BGS,0,0.0,1
F28,12,3,standard_GP,0,0.0,1
F28,12,3,guarded_GP,0,0.0,1
F28,12,3,residual_GP,0,0.0,1
F28,12,3,DR_BGS,0,0.0,1
F28,12,4,standard_GP,0,0.0,1
F28,12,4,guarded_GP,0,0.0,1
F28,12,4,residual_GP,0,0.0,1
F28,12,4,DR_BGS,0,0.0,1
F28,20,0,standard_GP,0,0.0,1
F28,20,0,guarded_GP,0,0.0,1
F28,20,0,residual_GP,0,0.0,1
F28,20,0,DR_BGS,0,0.0,1
F28,20,1,standard_GP,0,0.0,1
F28,20,1,guarded_GP,0,0.0,1
F28,20,1,residual_GP,0,0.0,1
F28,20,1,DR_BGS,0,0.0,1
F28,20,2,standard_GP,0,0.0,1
F28,20,2,guarded_GP,0,0.0,1
F28,20,2,residual_GP,0,0.0,1
F28,20,2,DR_BGS,0,0.0,1
F28,20,3,standard_GP,0,0.0,1
F28,20,3,guarded_GP,0,0.0,1
F28,20,3,residual_GP,0,0.0,1
F28,20,3,DR_BGS,0,0.0,1
F28,20,4,standard_GP,0,0.0,1
F28,20,4,guarded_GP,0,0.0,1
F28,20,4,residual_GP,0,0.0,1
F28,20,4,DR_BGS,0,0.0,1
F31,12,0,standard_GP,0,0.0,1
F31,12,0,guarded_GP,0,0.0,1
F31,12,0,residual_GP,0,0.0,1
F31,12,0,DR_BGS,0,0.0,1
F31,12,1,standard_GP,0,0.0,1
F31,12,1,guarded_GP,0,0.0,1
F31,12,1,residual_GP,0,0.0,1
F31,12,1,DR_BGS,0,0.0,1
F31,12,2,standard_GP,0,0.0,1
F31,12,2,guarded_GP,0,0.0,1
F31,12,2,residual_GP,0,0.0,1
F31,12,2,DR_BGS,0,0.0,1
F31,12,3,standard_GP,0,0.0,1
F31,12,3,guarded_GP,0,0.0,1
F31,12,3,residual_GP,0,0.0,1
F31,12,3,DR_BGS,0,0.0,1
F31,12,4,standard_GP,0,0.0,1
F31,12,4,guarded_GP,0,0.0,1
F31,12,4,residual_GP,0,0.0,1
F31,12,4,DR_BGS,0,0.0,1
F31,20,0,standard_GP,0,0.0,1
F31,20,0,guarded_GP,0,0.0,1
F31,20,0,residual_GP,0,0.0,1
F31,20,0,DR_BGS,0,0.0,1
F31,20,1,standard_GP,0,0.0,1
F31,20,1,guarded_GP,0,0.0,1
F31,20,1,residual_GP,0,0.0,1
F31,20,1,DR_BGS,0,0.0,1
F31,20,2,standard_GP,0,0.0,1
F31,20,2,guarded_GP,0,0.0,1
F31,20,2,residual_GP,0,0.0,1
F31,20,2,DR_BGS,0,0.0,1
F31,20,3,standard_GP,0,0.0,1
F31,20,3,guarded_GP,0,0.0,1
F31,20,3,residual_GP,0,0.0,1
F31,20,3,DR_BGS,0,0.0,1
F31,20,4,standard_GP,0,0.0,1
F31,20,4,guarded_GP,0,0.0,1
F31,20,4,residual_GP,0,0.0,1
F31,20,4,DR_BGS,0,0.0,1
F36,12,0,standard_GP,0,0.0,1
F36,12,0,guarded_GP,0,0.0,1
F36,12,0,residual_GP,0,0.0,1
F36,12,0,DR_BGS,0,0.0,1
F36,12,1,standard_GP,0,0.0,1
F36,12,1,guarded_GP,0,0.0,1
F36,12,1,residual_GP,0,0.0,1
F36,12,1,DR_BGS,0,0.0,1
F36,12,2,standard_GP,0,0.0,1
F36,12,2,guarded_GP,0,0.0,1
F36,12,2,residual_GP,0,0.0,1
F36,12,2,DR_BGS,0,0.0,1
F36,12,3,standard_GP,0,0.0,1
F36,12,3,guarded_GP,0,0.0,1
F36,12,3,residual_GP,0,0.0,1
F36,12,3,DR_BGS,0,0.0,1
F36,12,4,standard_GP,0,0.0,1
F36,12,4,guarded_GP,0,0.0,1
F36,12,4,residual_GP,0,0.0,1
F36,12,4,DR_BGS,0,0.0,1
F36,20,0,standard_GP,0,0.0,1
F36,20,0,guarded_GP,0,0.0,1
F36,20,0,residual_GP,0,0.0,1
F36,20,0,DR_BGS,0,0.0,1
F36,20,1,standard_GP,0,0.0,1
F36,20,1,guarded_GP,0,0.0,1
F36,20,1,residual_GP,0,0.0,1
F36,20,1,DR_BGS,0,0.0,1
F36,20,2,standard_GP,0,0.0,1
F36,20,2,guarded_GP,0,0.0,1
F36,20,2,residual_GP,0,0.0,1
F36,20,2,DR_BGS,0,0.0,1
F36,20,3,standard_GP,0,0.0,1
F36,20,3,guarded_GP,0,0.0,1
F36,20,3,residual_GP,0,0.0,1
F36,20,3,DR_BGS,0,0.0,1
F36,20,4,standard_GP,0,0.0,1
F36,20,4,guarded_GP,0,0.0,1
F36,20,4,residual_GP,0,0.0,1
F36,20,4,DR_BGS,0,0.0,1
R03,12,0,standard_GP,0,0.00029444547132495276,0
R03,12,0,guarded_GP,1,0.0,1
R03,12,0,residual_GP,0,0.00029444547132495276,0
R03,12,0,DR_BGS,1,0.0,1
R03,12,1,standard_GP,0,0.00029444547132495276,0
R03,12,1,guarded_GP,1,0.0,1
R03,12,1,residual_GP,1,0.0,1
R03,12,1,DR_BGS,1,0.0,1
R03,12,2,standard_GP,0,0.00029444547132495276,0
R03,12,2,guarded_GP,1,0.0,1
R03,12,2,residual_GP,1,0.0,1
R03,12,2,DR_BGS,1,0.0,1
R03,12,3,standard_GP,0,0.00029444547132495276,0
R03,12,3,guarded_GP,1,0.0,1
R03,12,3,residual_GP,0,0.00029444547132495276,0
R03,12,3,DR_BGS,1,0.0,1
R03,12,4,standard_GP,0,0.00029444547132495276,0
R03,12,4,guarded_GP,1,0.0,1
R03,12,4,residual_GP,0,0.00029444547132495276,0
R03,12,4,DR_BGS,1,0.0,1
R03,20,0,standard_GP,0,0.00029444547132495276,0
R03,20,0,guarded_GP,1,0.0,1
R03,20,0,residual_GP,1,0.0,1
R03,20,0,DR_BGS,1,0.0,1
R03,20,1,standard_GP,0,0.00029444547132495276,0
R03,20,1,guarded_GP,1,0.0,1
R03,20,1,residual_GP,1,0.0,1
R03,20,1,DR_BGS,1,0.0,1
R03,20,2,standard_GP,0,0.00029444547132495276,0
R03,20,2,guarded_GP,1,0.0,1
R03,20,2,residual_GP,1,0.0,1
R03,20,2,DR_BGS,1,0.0,1
R03,20,3,standard_GP,0,0.00029444547132495276,0
R03,20,3,guarded_GP,1,0.0,1
R03,20,3,residual_GP,1,0.0,1
R03,20,3,DR_BGS,1,0.0,1
R03,20,4,standard_GP,0,0.00029444547132495276,0
R03,20,4,guarded_GP,1,0.0,1
R03,20,4,residual_GP,1,0.0,1
R03,20,4,DR_BGS,1,0.0,1
R06,12,0,standard_GP,0,0.0,1
R06,12,0,guarded_GP,0,0.0,1
R06,12,0,residual_GP,0,0.0,1
R06,12,0,DR_BGS,0,0.0,1
R06,12,1,standard_GP,0,0.0,1
R06,12,1,guarded_GP,0,0.0,1
R06,12,1,residual_GP,0,0.0,1
R06,12,1,DR_BGS,0,0.0,1
R06,12,2,standard_GP,0,0.0,1
R06,12,2,guarded_GP,0,0.0,1
R06,12,2,residual_GP,0,0.0,1
R06,12,2,DR_BGS,0,0.0,1
R06,12,3,standard_GP,0,0.0,1
R06,12,3,guarded_GP,0,0.0,1
R06,12,3,residual_GP,0,0.0,1
R06,12,3,DR_BGS,0,0.0,1
R06,12,4,standard_GP,0,0.0,1
R06,12,4,guarded_GP,0,0.0,1
R06,12,4,residual_GP,0,0.0,1
R06,12,4,DR_BGS,0,0.0,1
R06,20,0,standard_GP,0,0.0,1
R06,20,0,guarded_GP,0,0.0,1
R06,20,0,residual_GP,0,0.0,1
R06,20,0,DR_BGS,0,0.0,1
R06,20,1,standard_GP,0,0.0,1
R06,20,1,guarded_GP,0,0.0,1
R06,20,1,residual_GP,0,0.0,1
R06,20,1,DR_BGS,0,0.0,1
R06,20,2,standard_GP,0,0.0,1
R06,20,2,guarded_GP,0,0.0,1
R06,20,2,residual_GP,0,0.0,1
R06,20,2,DR_BGS,0,0.0,1
R06,20,3,standard_GP,0,0.0,1
R06,20,3,guarded_GP,0,0.0,1
R06,20,3,residual_GP,0,0.0,1
R06,20,3,DR_BGS,0,0.0,1
R06,20,4,standard_GP,0,0.0,1
R06,20,4,guarded_GP,0,0.0,1
R06,20,4,residual_GP,0,0.0,1
R06,20,4,DR_BGS,0,0.0,1
R07,12,0,standard_GP,162,0.0047629077744463615,0
R07,12,0,guarded_GP,180,0.0004834383825595385,0
R07,12,0,residual_GP,180,0.0004834383825595385,0
R07,12,0,DR_BGS,182,0.0034778710551162406,0
R07,12,1,standard_GP,146,0.0,1
R07,12,1,guarded_GP,180,0.0004834383825595385,0
R07,12,1,residual_GP,146,0.0,1
R07,12,1,DR_BGS,182,0.0034778710551162406,0
R07,12,2,standard_GP,181,0.0005496556513014473,0
R07,12,2,guarded_GP,180,0.0004834383825595385,0
R07,12,2,residual_GP,181,0.0005496556513014473,0
R07,12,2,DR_BGS,182,0.0034778710551162406,0
R07,12,3,standard_GP,180,0.0004834383825595385,0
R07,12,3,guarded_GP,180,0.0004834383825595385,0
R07,12,3,residual_GP,180,0.0004834383825595385,0
R07,12,3,DR_BGS,182,0.0034778710551162406,0
R07,12,4,standard_GP,119,0.00811499983382563,0
R07,12,4,guarded_GP,180,0.0004834383825595385,0
R07,12,4,residual_GP,180,0.0004834383825595385,0
R07,12,4,DR_BGS,182,0.0034778710551162406,0
R07,20,0,standard_GP,149,0.0008793787754072508,0
R07,20,0,guarded_GP,182,0.0034778710551162406,0
R07,20,0,residual_GP,182,0.0034778710551162406,0
R07,20,0,DR_BGS,182,0.0034778710551162406,0
R07,20,1,standard_GP,146,0.0,1
R07,20,1,guarded_GP,182,0.0034778710551162406,0
R07,20,1,residual_GP,146,0.0,1
R07,20,1,DR_BGS,182,0.0034778710551162406,0
R07,20,2,standard_GP,183,0.0026655642056135215,0
R07,20,2,guarded_GP,182,0.0034778710551162406,0
R07,20,2,residual_GP,182,0.0034778710551162406,0
R07,20,2,DR_BGS,182,0.0034778710551162406,0
R07,20,3,standard_GP,182,0.0034778710551162406,0
R07,20,3,guarded_GP,182,0.0034778710551162406,0
R07,20,3,residual_GP,182,0.0034778710551162406,0
R07,20,3,DR_BGS,182,0.0034778710551162406,0
R07,20,4,standard_GP,119,0.00811499983382563,0
R07,20,4,guarded_GP,182,0.0034778710551162406,0
R07,20,4,residual_GP,182,0.0034778710551162406,0
R07,20,4,DR_BGS,182,0.0034778710551162406,0
R08,12,0,standard_GP,0,0.0,1
R08,12,0,guarded_GP,0,0.0,1
R08,12,0,residual_GP,0,0.0,1
R08,12,0,DR_BGS,0,0.0,1
R08,12,1,standard_GP,0,0.0,1
R08,12,1,guarded_GP,0,0.0,1
R08,12,1,residual_GP,0,0.0,1
R08,12,1,DR_BGS,0,0.0,1
R08,12,2,standard_GP,0,0.0,1
R08,12,2,guarded_GP,0,0.0,1
R08,12,2,residual_GP,0,0.0,1
R08,12,2,DR_BGS,0,0.0,1
R08,12,3,standard_GP,0,0.0,1
