original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio,exact_certifiable_policies,best_policy_idx,best_policy_upper,best_policy_mean_B_H,best_policy_mean_B_L,method_certified_runs,method_runs
BG02,0.7,2.0,80.0,0.35,0.2,2.0,joint_harder,1.5,0,1.363908440032406,0,6,0.7659479938008387,0.04404032446332675,0.04309559745690505,0,11
BG02,0.7,2.0,100.0,0.4,0.2,2.0,joint_safer,1.9285714285714284,11,0.5437665782493369,0,0,0.6151295176294747,0.032683450286446834,0.03141058451922329,0,11
BG02,0.7,2.0,100.0,0.45,0.2,2.0,joint_boundary,1.8571428571428572,1,0.9467979875642666,0,1,0.7166703878109575,0.039188074435964185,0.03725382415693619,0,11
BG02,0.7,2.0,120.0,0.4,0.2,2.0,joint_safer,2.4285714285714284,0,1.156921702563432,0,11,0.4491502447105225,0.018226900433164293,0.018112296083575914,0,11
BG02,0.7,2.0,100.0,0.5,0.2,2.0,joint_harder,1.7857142857142856,0,1.134947446735954,0,0,0.7475955847990066,0.04944896523781084,0.05008611080867484,0,11
BG02,0.7,2.0,120.0,0.45,0.2,2.0,joint_boundary,2.357142857142857,55,0.2659574468085106,0,23,0.5166164677468423,0.026756354167844543,0.024838380481697023,0,11
BG02,0.7,2.0,120.0,0.5,0.2,2.0,joint_harder,2.2857142857142856,0,1.7854311062544077,0,0,0.549805536139354,0.03126364415612667,0.032511902795544584,0,11
BG02,0.7,2.0,160.0,0.6,0.2,2.0,joint_safer,3.142857142857143,14,0.3727303015159087,0,22,0.5099359118817948,0.02472675307911805,0.02577195222498064,0,11
BG02,0.7,2.0,200.0,0.65,0.2,2.0,joint_safer,4.071428571428571,139,0.0,0,2,0.2803342891271908,0.014698723714977895,0.013361799144976665,0,11
BG02,0.7,2.0,160.0,0.65,0.2,2.0,joint_boundary,3.071428571428571,2,0.7211538461538461,0,0,0.4354752549149465,0.02532424967165289,0.026218916765784382,0,11
BG02,0.7,2.0,240.0,0.65,0.2,2.0,joint_safer,5.071428571428571,176,0.0,0,25,0.25835907285346305,0.012420798083854547,0.01193455917038241,0,11
BG03,0.7,0.5,40.0,0.025,0.5,0.5,load_path,0.9642857142857143,-1,,190,10,0.02429259716610854,0.0,0.0,11,11
BG03,0.7,0.5,40.0,0.05,0.5,0.5,load_path,0.9285714285714285,190,0.0,190,166,0.02429259716610854,0.0003484894524158182,0.00020676468746179817,11,11
BG03,0.7,0.5,40.0,0.075,0.5,0.5,load_path,0.8928571428571429,-1,,119,0,0.05733422228820578,0.002762283186564551,0.0022421890616718,11,11
BG03,0.7,0.5,40.0,0.1,0.5,0.5,joint_safer;load_path,0.8571428571428572,190,0.311066449740007,0,0,0.3020774325061646,0.01174065899653519,0.007520894978635079,0,11
BG03,0.7,0.5,40.0,0.125,0.5,0.5,load_path,0.8214285714285714,-1,,0,0,0.4898074362596504,0.021914573745689885,0.014804660250776602,0,11
BG03,0.7,0.5,40.0,0.15,0.5,0.5,joint_boundary;load_path,0.7857142857142857,2,0.8707914332421108,0,2,0.7104368345613593,0.03172177583625069,0.01999346640166164,0,11
BG03,0.7,0.5,40.0,0.2,0.5,0.5,joint_harder;load_path,0.7142857142857143,0,2.520988444190418,0,0,0.9429425651637531,0.05673728592481327,0.03681972393175675,0,11
BG03,0.7,0.5,40.0,0.25,0.5,0.5,load_path,0.6428571428571428,0,3.4460732170679416,0,16,0.9926874536019917,0.08350352794696782,0.055776012079590535,0,11
BG03,0.7,0.5,40.0,0.3,0.5,0.5,load_path,0.5714285714285714,0,3.463802282330079,0,2,0.9926874536019917,0.09313851661341332,0.06509354385392463,0,11
BG03,0.7,0.5,40.0,0.35,0.5,0.5,load_path,0.5,0,5.523395605651436,0,0,0.9983811729701603,0.10948451979284464,0.06747313438688486,0,11
BG03,0.7,0.5,40.0,0.4,0.5,0.5,load_path,0.4285714285714285,0,4.159348087506631,0,68,0.9958563747187794,0.13274837377069212,0.09722778812672418,0,11
BG03,0.7,0.5,40.0,0.45,0.5,0.5,load_path,0.3571428571428571,0,5.334907241080369,0,189,1.0,0.1726845155783774,0.1371163140893689,0,11
BG03,0.7,0.5,40.0,0.5,0.5,0.5,load_path,0.28571428571428564,0,5.792262130354428,0,39,0.99983122885689,0.1613219498054883,0.10778545577282804,0,11
BG03,0.7,0.5,40.0,0.55,0.5,0.5,load_path,0.21428571428571416,0,6.878776254550309,0,174,0.99983122885689,0.17384414299110582,0.1324729885067173,0,11
BG03,0.7,0.5,40.0,0.6,0.5,0.5,load_path,0.14285714285714282,0,7.41809801297927,0,11,0.99983122885689,0.15870032305710988,0.09580318088401754,0,11
BG03,0.7,0.5,40.0,0.65,0.5,0.5,load_path,0.07142857142857134,0,5.991044622085424,0,50,0.99983122885689,0.16650460999330344,0.11042996181705841,0,11
BG03,0.7,0.5,60.0,0.7,0.5,0.5,capacity_path,0.5,0,4.88935251959525,0,2,0.9810344303654225,0.1079741910830773,0.06420886197755567,0,11
BG03,0.7,0.5,40.0,0.7,0.5,0.5,baseline;capacity_path;delay_path;load_path,0.0,0,8.321889161345117,0,31,0.99983122885689,0.17361016149365416,0.10780727983197085,0,11
BG03,0.7,0.5,80.0,0.7,0.5,0.5,capacity_path,1.0,0,3.220783689159143,0,1,0.8891426679824252,0.06748853068739,0.033295053850218664,0,11
BG03,0.7,0.5,100.0,0.7,0.5,0.5,capacity_path,1.5,0,1.8234980613783307,0,1,0.7414436366064876,0.04716876361927301,0.02306775508235398,0,11
