scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,n,viol_H,viol_L,upper_H,upper_L,certified
BG04,0.7,0.5,2.0,88,26.0,22.0,0.22711945781946477,0.18700414983369307,0.2819287351823947,0.24789850340437827,0.29018781368173746,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,89,26.0,24.0,0.23056158973215568,0.19601637566299915,0.2825621005775658,0.22347259234933156,0.26585690743596646,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,90,26.0,26.0,0.23161859404362037,0.19608165744544395,0.2822266728064626,0.2258274659252069,0.2681614668461763,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,91,28.0,2.0,0.21395247872731502,0.17202368072779528,0.27446106771388273,0.3083913971171753,0.34956055727425767,150,150,143,1.0,0.9810344303654225,0
BG04,0.7,0.5,2.0,92,28.0,4.0,0.21491978425213878,0.17493685144134039,0.2740986251010863,0.30388199304848595,0.3449967868136489,150,150,146,1.0,0.9926874536019917,0
BG04,0.7,0.5,2.0,93,28.0,6.0,0.21919173749197854,0.1781092692043227,0.2759946403300707,0.2888978362946538,0.33029703234416447,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,94,28.0,8.0,0.2196710707479081,0.18624465311601077,0.27821507707672083,0.2750036564214474,0.3167359179829556,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,95,28.0,10.0,0.2240929815468318,0.1869054476501289,0.27885823973413276,0.2648185553930866,0.3066472913532065,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,96,28.0,12.0,0.22483922596177203,0.18267983409430766,0.2805956942669178,0.27097945655334194,0.31306881069337966,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,97,28.0,14.0,0.22811034607186437,0.19422130451648031,0.28277342231937713,0.24476920099121197,0.2871852143391186,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,98,28.0,16.0,0.23120577264365694,0.19775066059744087,0.28093496730259243,0.23337482691533173,0.27551507201072056,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,99,28.0,18.0,0.22878063889040817,0.19148694370067676,0.2807140690890243,0.24439275871764826,0.2864998690810019,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,100,28.0,20.0,0.22762581503955218,0.19142649060521727,0.28138199456828183,0.24046923473868995,0.2826765339239322,150,150,147,1.0,0.9958563747187794,0
BG04,0.7,0.5,2.0,101,28.0,22.0,0.2295304237804017,0.1892615324869001,0.28260825660020106,0.2406457748724936,0.28303701336252374,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,102,28.0,24.0,0.23189800895445734,0.19870875116709655,0.28320761540076356,0.2180185894649575,0.260499731775072,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,103,28.0,26.0,0.23336809535586372,0.19730643244545848,0.2829713453353075,0.22086709313899092,0.2633127949392871,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,104,28.0,28.0,0.23248762249961763,0.20050619893003505,0.2829909594077421,0.21289016864779817,0.2553388125589595,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,105,30.0,2.0,0.21483857985342772,0.17215207363378562,0.2746496926192164,0.30567627343019144,0.3468737273230738,150,150,143,1.0,0.9810344303654225,0
BG04,0.7,0.5,2.0,106,30.0,4.0,0.2173104232429173,0.1778843493418547,0.27497111609441777,0.2956293928916861,0.3368750603058488,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,107,30.0,6.0,0.21953750369418362,0.17775006484020764,0.2763273695403836,0.2871753748783095,0.3286244803093671,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,108,30.0,8.0,0.22004874932588075,0.18635124641717235,0.2780494292805729,0.2738538735239436,0.3155612879160296,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,109,30.0,10.0,0.2244388723714413,0.1856474768251509,0.27867000644093326,0.2651176994477484,0.3069182004138884,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,110,30.0,12.0,0.22497884314967165,0.1827873819873072,0.2803204606409917,0.27008076820177884,0.31212883729792756,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,111,30.0,14.0,0.22828840021628394,0.19325677542530226,0.28289085077831333,0.24544183377104115,0.28787546138778825,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,112,30.0,16.0,0.2316174550052483,0.19746805643842508,0.2811779338732943,0.2318503811710958,0.27402707125208997,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,113,30.0,18.0,0.23055845887205711,0.19392346611726807,0.28094142223487467,0.2377636255600059,0.27990483889523715,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,114,30.0,20.0,0.2293004166737093,0.19411794242602745,0.28184652890522005,0.23392022126012402,0.276197200595907,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,115,30.0,22.0,0.23202971685783164,0.19338720572527335,0.2832357675063424,0.2306579269696539,0.2731432920956053,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,116,30.0,24.0,0.23255231950389454,0.2005849311826097,0.2828534276550329,0.21591046537633904,0.258338479524594,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,117,30.0,26.0,0.23528982384036293,0.20086419463771812,0.283875322315592,0.21321926413563194,0.25580056248297073,150,150,150,1.0,1.0,0
BG04,0.7,0.5,2.0,118,30.0,28.0,0.23337272821863758,0.2020233762940857,0.28335979121611604,0.21007840136613837,0.2525823700485558,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,119,30.0,30.0,0.23602297793208857,0.2029004506915869,0.283951611351753,0.2012386325234949,0.24383137422625784,150,150,150,1.0,1.0,0
BG04,0.7,0.5,2.0,120,32.0,2.0,0.21700585637485412,0.17558245367510542,0.2760410796012266,0.29968095275291406,0.34108711469309805,150,150,145,1.0,0.9890898135310887,0
