original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio
BG02,0.7,2.0,120.0,0.4,0.2,2.0,joint_safer,2.4285714285714284,0,1.156921702563432
BG02,0.7,2.0,120.0,0.45,0.2,2.0,joint_boundary,2.357142857142857,55,0.2659574468085106
BG02,0.7,2.0,120.0,0.5,0.2,2.0,joint_harder,2.2857142857142856,0,1.7854311062544077
BG02,0.7,2.0,160.0,0.6,0.2,2.0,joint_safer,3.142857142857143,14,0.3727303015159087
BG02,0.7,2.0,160.0,0.65,0.2,2.0,joint_boundary,3.071428571428571,2,0.7211538461538461
BG02,0.7,2.0,200.0,0.65,0.2,2.0,joint_safer,4.071428571428571,139,0.0
BG02,0.7,2.0,240.0,0.65,0.2,2.0,joint_safer,5.071428571428571,176,0.0
BG03,0.7,0.5,40.0,0.025,0.5,0.5,load_path,0.9642857142857143,-1,
BG03,0.7,0.5,40.0,0.05,0.5,0.5,load_path,0.9285714285714285,190,0.0
BG03,0.7,0.5,40.0,0.075,0.5,0.5,load_path,0.8928571428571429,-1,
BG03,0.7,0.5,40.0,0.1,0.5,0.5,joint_safer;load_path,0.8571428571428572,190,0.311066449740007
BG03,0.7,0.5,40.0,0.125,0.5,0.5,load_path,0.8214285714285714,-1,
BG03,0.7,0.5,40.0,0.15,0.5,0.5,joint_boundary;load_path,0.7857142857142857,2,0.8707914332421108
BG03,0.7,0.5,40.0,0.2,0.5,0.5,joint_harder;load_path,0.7142857142857143,0,2.520988444190418
BG03,0.7,0.5,40.0,0.25,0.5,0.5,load_path,0.6428571428571428,0,3.4460732170679416
BG03,0.7,0.5,40.0,0.3,0.5,0.5,load_path,0.5714285714285714,0,3.463802282330079
BG03,0.7,0.5,40.0,0.35,0.5,0.5,load_path,0.5,0,5.523395605651436
BG03,0.7,0.5,40.0,0.4,0.5,0.5,load_path,0.4285714285714285,0,4.159348087506631
BG03,0.7,0.5,40.0,0.45,0.5,0.5,load_path,0.3571428571428571,0,5.334907241080369
BG03,0.7,0.5,40.0,0.5,0.5,0.5,load_path,0.28571428571428564,0,5.792262130354428
BG03,0.7,0.5,40.0,0.55,0.5,0.5,load_path,0.21428571428571416,0,6.878776254550309
BG03,0.7,0.5,40.0,0.6,0.5,0.5,load_path,0.14285714285714282,0,7.41809801297927
BG03,0.7,0.5,40.0,0.65,0.5,0.5,load_path,0.07142857142857134,0,5.991044622085424
BG03,0.7,0.5,40.0,0.7,0.5,0.5,baseline;capacity_path;delay_path;load_path,0.0,0,8.321889161345117
BG03,0.7,0.5,60.0,0.7,0.5,0.5,capacity_path,0.5,0,4.88935251959525
BG03,0.7,0.5,80.0,0.7,0.5,0.5,capacity_path,1.0,0,3.220783689159143
BG03,0.7,0.5,100.0,0.7,0.5,0.5,capacity_path,1.5,0,1.8234980613783307
