original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio,method,init_seed,selected_idx,selected_alpha_on,selected_alpha_off,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,viol_H,viol_L,upper_H,upper_L,certified
BG01,0.7,0.5,40.0,0.25,0.2,0.5,load_path,0.6428571428571428,0,2.9699464050887645,Guarded-GP,2,104,28.0,28.0,0.08575094157796066,0.07520453238220481,0.20496965062714817,0.151137990825942,0.18188343842001423,147,121,0.9958563747187794,0.8665332141534924,0
BG01,0.7,0.5,40.0,0.25,0.2,0.5,load_path,0.6428571428571428,0,2.9699464050887645,Guarded-GP,3,105,30.0,2.0,0.0831658709473273,0.07291356339959044,0.20289523233473897,0.17096610522687966,0.20140039007709049,148,116,0.9983811729701603,0.8376307280494067,0
BG01,0.7,0.5,40.0,0.25,0.2,0.5,load_path,0.6428571428571428,0,2.9699464050887645,Guarded-GP,4,105,30.0,2.0,0.0831658709473273,0.07291356339959044,0.20289523233473897,0.17096610522687966,0.20140039007709049,148,116,0.9983811729701603,0.8376307280494067,0
BG01,0.7,0.5,40.0,0.15,0.2,0.5,joint_boundary;load_path,0.7857142857142857,15,0.6088144843228351,Exhaustive-training,-1,28,16.0,2.0,0.02905137101102553,0.02650958378292536,0.1368751511378952,0.1565469111930872,0.17707818386377147,101,13,0.7475955847990066,0.14364272328338715,0
BG01,0.7,0.5,40.0,0.15,0.2,0.5,joint_boundary;load_path,0.7857142857142857,15,0.6088144843228351,DR-BGS,0,36,18.0,2.0,0.031069651875634343,0.02808285418068935,0.1383201409725865,0.14440966919220694,0.16515769033809494,103,16,0.7598480539030887,0.16743633904074617,0
BG01,0.7,0.5,40.0,0.15,0.2,0.5,joint_boundary;load_path,0.7857142857142857,15,0.6088144843228351,DR-BGS,1,36,18.0,2.0,0.031069651875634343,0.02808285418068935,0.1383201409725865,0.14440966919220694,0.16515769033809494,103,16,0.7598480539030887,0.16743633904074617,0
BG01,0.7,0.5,40.0,0.15,0.2,0.5,joint_boundary;load_path,0.7857142857142857,15,0.6088144843228351,DR-BGS,2,36,18.0,2.0,0.031069651875634343,0.02808285418068935,0.1383201409725865,0.14440966919220694,0.16515769033809494,103,16,0.7598480539030887,0.16743633904074617,0
BG01,0.7,0.5,40.0,0.15,0.2,0.5,joint_boundary;load_path,0.7857142857142857,15,0.6088144843228351,DR-BGS,3,36,18.0,2.0,0.031069651875634343,0.02808285418068935,0.1383201409725865,0.14440966919220694,0.16515769033809494,103,16,0.7598480539030887,0.16743633904074617,0
BG01,0.7,0.5,40.0,0.15,0.2,0.5,joint_boundary;load_path,0.7857142857142857,15,0.6088144843228351,DR-BGS,4,36,18.0,2.0,0.031069651875634343,0.02808285418068935,0.1383201409725865,0.14440966919220694,0.16515769033809494,103,16,0.7598480539030887,0.16743633904074617,0
BG01,0.7,0.5,40.0,0.15,0.2,0.5,joint_boundary;load_path,0.7857142857142857,15,0.6088144843228351,Guarded-GP,0,35,16.0,16.0,0.03135010901831267,0.027914829642497713,0.13856161102347392,0.13985773966117343,0.16064198131469448,94,20,0.7041875847736137,0.19838696759904956,0
BG01,0.7,0.5,40.0,0.15,0.2,0.5,joint_boundary;load_path,0.7857142857142857,15,0.6088144843228351,Guarded-GP,1,30,16.0,6.0,0.029321653983685712,0.026746085668213446,0.13647965035917933,0.15359363847316107,0.174065586027038,96,16,0.7166703878109575,0.16743633904074617,0
BG01,0.7,0.5,40.0,0.15,0.2,0.5,joint_boundary;load_path,0.7857142857142857,15,0.6088144843228351,Guarded-GP,2,45,20.0,2.0,0.03239831244495203,0.029057711667728487,0.14010005170986042,0.1345132854742495,0.15552829323072853,106,19,0.7780936839776613,0.19072061375638855,0
BG01,0.7,0.5,40.0,0.15,0.2,0.5,joint_boundary;load_path,0.7857142857142857,15,0.6088144843228351,Guarded-GP,3,35,16.0,16.0,0.03135010901831267,0.027914829642497713,0.13856161102347392,0.13985773966117343,0.16064198131469448,94,20,0.7041875847736137,0.19838696759904956,0
BG01,0.7,0.5,40.0,0.15,0.2,0.5,joint_boundary;load_path,0.7857142857142857,15,0.6088144843228351,Guarded-GP,4,30,16.0,6.0,0.029321653983685712,0.026746085668213446,0.13647965035917933,0.15359363847316107,0.174065586027038,96,16,0.7166703878109575,0.16743633904074617,0
BG01,0.7,0.5,40.0,0.2,0.2,0.5,joint_harder;load_path,0.7142857142857143,0,1.794621907025958,Exhaustive-training,-1,55,22.0,2.0,0.05928543428220486,0.04814478698789305,0.17325894156161278,0.17739645756512307,0.203385298799365,135,67,0.9429425651637531,0.5299346538729368,0
BG01,0.7,0.5,40.0,0.2,0.2,0.5,joint_harder;load_path,0.7142857142857143,0,1.794621907025958,DR-BGS,0,59,22.0,10.0,0.0621514874835592,0.04915014153833533,0.1751166434932658,0.16723622308555292,0.1935037196095428,145,67,0.9890898135310887,0.5299346538729368,0
