original_scenario_id,base_rho,base_tau,regime,K,rho,qH,tau,boundary_selected_from_150_replays,selection_exact_certifiable_policies,selection_best_policy_upper,method,init_seed,selected_idx,selected_alpha_on,selected_alpha_off,evidence_n,n,viol_H,viol_L,upper_H,upper_L,certified,mean_B_H,mean_B_L,mean_op_cost,final_1200_certified,decision_reversal
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,1,2,4.0,4.0,100,100,97,87,0.9937700284616936,0.9289269538145705,0,0.12041090180928375,0.10339048319461716,0.5030837311215238,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,1,2,4.0,4.0,150,150,146,130,0.9926874536019917,0.9166161933604736,0,0.12089246313164106,0.10370666792127702,0.5066214672171191,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,1,2,4.0,4.0,300,300,293,255,0.9905684979382053,0.8884374775698745,0,0.12359646191041125,0.1045510604400057,0.5139511453559843,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,1,2,4.0,4.0,600,600,587,508,0.9884141744311549,0.874565685665855,0,0.1236345482523949,0.10447428277485019,0.5152354660285118,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,1,2,4.0,4.0,1200,1200,1172,1024,0.9844404786811924,0.872881418465982,0,0.12410758949606958,0.10613854396478024,0.5099875724867963,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,2,3,6.0,2.0,50,50,49,40,0.9994937720169592,0.899697762527429,0,0.11224086805408387,0.0911012754182803,0.521821440701039,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,2,3,6.0,2.0,100,100,97,86,0.9937700284616936,0.9212945950730342,0,0.11585360148164643,0.09946664991011298,0.5114268222563925,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,2,3,6.0,2.0,150,150,145,126,0.9890898135310887,0.8947133221604362,0,0.11617795348247284,0.09805683461416358,0.5184363985316357,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,2,3,6.0,2.0,300,300,295,259,0.9945667946848947,0.9001087662835682,0,0.11882870632839757,0.10292177948252502,0.5155002702251388,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,2,3,6.0,2.0,600,600,590,519,0.9919794929632011,0.8913247143261855,0,0.12225747126960168,0.10532896891017408,0.5139542432673397,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,2,3,6.0,2.0,1200,1200,1173,1017,0.9851212374900935,0.867386322308502,0,0.12049861862688498,0.10320353124817158,0.5157499629726691,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,3,2,4.0,4.0,50,50,48,41,0.9951185665738356,0.9142379218903364,0,0.11654109492946811,0.09859006810702114,0.5094380068404941,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,3,2,4.0,4.0,100,100,97,87,0.9937700284616936,0.9289269538145705,0,0.12041090180928375,0.10339048319461716,0.5030837311215238,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,3,2,4.0,4.0,150,150,146,130,0.9926874536019917,0.9166161933604736,0,0.12089246313164106,0.10370666792127702,0.5066214672171191,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,3,2,4.0,4.0,300,300,293,255,0.9905684979382053,0.8884374775698745,0,0.12359646191041125,0.1045510604400057,0.5139511453559843,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,3,2,4.0,4.0,600,600,587,508,0.9884141744311549,0.874565685665855,0,0.1236345482523949,0.10447428277485019,0.5152354660285118,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,3,2,4.0,4.0,1200,1200,1172,1024,0.9844404786811924,0.872881418465982,0,0.12410758949606958,0.10613854396478024,0.5099875724867963,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,4,2,4.0,4.0,50,50,48,41,0.9951185665738356,0.9142379218903364,0,0.11654109492946811,0.09859006810702114,0.5094380068404941,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,4,2,4.0,4.0,100,100,97,87,0.9937700284616936,0.9289269538145705,0,0.12041090180928375,0.10339048319461716,0.5030837311215238,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,4,2,4.0,4.0,150,150,146,130,0.9926874536019917,0.9166161933604736,0,0.12089246313164106,0.10370666792127702,0.5066214672171191,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,4,2,4.0,4.0,300,300,293,255,0.9905684979382053,0.8884374775698745,0,0.12359646191041125,0.1045510604400057,0.5139511453559843,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,4,2,4.0,4.0,600,600,587,508,0.9884141744311549,0.874565685665855,0,0.1236345482523949,0.10447428277485019,0.5152354660285118,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Guarded-GP,4,2,4.0,4.0,1200,1200,1172,1024,0.9844404786811924,0.872881418465982,0,0.12410758949606958,0.10613854396478024,0.5099875724867963,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Risk-screen-oracle,-1,7,8.0,4.0,50,50,47,41,0.9874514121646659,0.9142379218903364,0,0.12134938274526394,0.09920050118758789,0.502565613647949,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Risk-screen-oracle,-1,7,8.0,4.0,100,100,97,88,0.9937700284616936,0.9364310974388407,0,0.12330621270256957,0.10358654169133598,0.4978601597524236,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Risk-screen-oracle,-1,7,8.0,4.0,150,150,146,134,0.9926874536019917,0.9377894259935293,0,0.12678227141410295,0.10524139920626875,0.4979614310234436,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Risk-screen-oracle,-1,7,8.0,4.0,300,300,295,262,0.9945667946848947,0.9087815762542462,0,0.12802455382056727,0.10547424821855822,0.5054967926933661,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Risk-screen-oracle,-1,7,8.0,4.0,600,600,591,519,0.9931187054032118,0.8913247143261855,0,0.12807293978363238,0.10704983381776612,0.5028752231200799,0,0
BG01,0.7,0.5,baseline,40.0,0.7,0.2,0.5,1,0,0.9890898135310888,Risk-screen-oracle,-1,7,8.0,4.0,1200,1200,1179,1045,0.9891354180205651,0.8892991488513899,0,0.12832650088894576,0.10864193958670285,0.49853537257209174,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,Exhaustive-training,-1,28,16.0,2.0,50,50,13,0,0.40344767872806564,0.07112173646419764,0,0.012874319330277115,0.009609980613649129,0.11859951720706925,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,Exhaustive-training,-1,28,16.0,2.0,100,100,30,0,0.3998146761798041,0.03621669264517641,0,0.013167881953227167,0.010309463794350287,0.11926675669747272,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,Exhaustive-training,-1,28,16.0,2.0,150,150,48,0,0.40100578566330813,0.02429259716610854,0,0.014021573212560352,0.010495554249508201,0.11995400920056208,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,Exhaustive-training,-1,28,16.0,2.0,300,300,86,1,0.3414416962920916,0.018431252048067885,0,0.012815844902388584,0.010363024189132835,0.11444225275763098,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,Exhaustive-training,-1,28,16.0,2.0,600,600,168,3,0.31778380660615235,0.014542042139563288,0,0.01244477653538396,0.010560224546895603,0.11650805784077496,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,Exhaustive-training,-1,28,16.0,2.0,1200,1200,331,9,0.30206582513793323,0.01418940040994155,0,0.012359247441593857,0.011302782187904684,0.11422229364384774,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,0,35,16.0,16.0,50,50,15,0,0.4460823256611783,0.07112173646419764,0,0.014398938401758574,0.011318331655311908,0.0937879758059852,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,0,35,16.0,16.0,100,100,29,0,0.3892659589074483,0.03621669264517641,0,0.01259453824451499,0.011162415570567985,0.10418096424061123,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,0,35,16.0,16.0,150,150,43,0,0.366108864325284,0.02429259716610854,0,0.012916150025457984,0.011189518894499402,0.10466566236581619,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,0,35,16.0,16.0,300,300,76,0,0.30650737113282744,0.01222097469429355,0,0.011934064061165872,0.010706105565934645,0.1029522583862532,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,0,35,16.0,16.0,600,600,155,1,0.2953268661609411,0.009250772279374587,0,0.011888879775539488,0.010855800351177572,0.10623066051892041,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,0,35,16.0,16.0,1200,1200,311,4,0.28494612847810885,0.008512483409091042,0,0.01193537184447441,0.011083685168409308,0.10602341676019619,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,1,35,16.0,16.0,50,50,15,0,0.4460823256611783,0.07112173646419764,0,0.014398938401758574,0.011318331655311908,0.0937879758059852,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,1,35,16.0,16.0,100,100,29,0,0.3892659589074483,0.03621669264517641,0,0.01259453824451499,0.011162415570567985,0.10418096424061123,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,1,35,16.0,16.0,150,150,43,0,0.366108864325284,0.02429259716610854,0,0.012916150025457984,0.011189518894499402,0.10466566236581619,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,1,35,16.0,16.0,300,300,76,0,0.30650737113282744,0.01222097469429355,0,0.011934064061165872,0.010706105565934645,0.1029522583862532,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,1,35,16.0,16.0,600,600,155,1,0.2953268661609411,0.009250772279374587,0,0.011888879775539488,0.010855800351177572,0.10623066051892041,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,1,35,16.0,16.0,1200,1200,311,4,0.28494612847810885,0.008512483409091042,0,0.01193537184447441,0.011083685168409308,0.10602341676019619,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,2,35,16.0,16.0,50,50,15,0,0.4460823256611783,0.07112173646419764,0,0.014398938401758574,0.011318331655311908,0.0937879758059852,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,2,35,16.0,16.0,100,100,29,0,0.3892659589074483,0.03621669264517641,0,0.01259453824451499,0.011162415570567985,0.10418096424061123,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,2,35,16.0,16.0,150,150,43,0,0.366108864325284,0.02429259716610854,0,0.012916150025457984,0.011189518894499402,0.10466566236581619,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,2,35,16.0,16.0,300,300,76,0,0.30650737113282744,0.01222097469429355,0,0.011934064061165872,0.010706105565934645,0.1029522583862532,0,0
BG01,0.7,0.5,near_boundary_harder,40.0,0.1,0.2,0.5,1,0,0.3092774317482905,DR-BGS,2,35,16.0,16.0,600,600,155,1,0.2953268661609411,0.009250772279374587,0,0.011888879775539488,0.010855800351177572,0.10623066051892041,0,0
