scenario_id,policy_idx,alpha_on,alpha_off,train_score,train_score_se,train_op_cost,train_W,train_B_H,train_B_L,train_cloud_fraction,diffusion_score,diffusion_W,diffusion_B_H,diffusion_B_L,diffusion_cloud_fraction
R15H01,47,20.0,6.0,6.548752601928871,1.4800107819494346,0.5419850601421546,0.28818027131833274,0.11846340392989091,0.09355550058064599,0.49875801944440484,1.5381373492718247,0.18652527367996904,0.042927285669260566,0.03411280981451904,0.363794274756801
R15H01,48,20.0,8.0,6.205610491271806,1.342954197351084,0.5369702082360287,0.2736312872786842,0.11544999850556019,0.08289065576813799,0.49592551514422606,1.551737478176028,0.18709720260131418,0.0432785905096172,0.03439197995470565,0.3597433723049708
R15H01,49,20.0,10.0,6.3507155616948365,1.4515474384428972,0.5155875441325113,0.2898567584942575,0.1157263883922286,0.09132219066071795,0.4721090303583726,1.5683069110623067,0.1878530321005104,0.04368710871336338,0.03471661600878281,0.3557735205790613
R15H01,50,20.0,12.0,5.636412494431034,1.1551884260049596,0.5208932839437826,0.2839761524289243,0.1043953885297481,0.08654967683077062,0.478296861079444,1.5888082983484244,0.18883774245950452,0.04417034521028912,0.03510062942504173,0.3519653764650428
R15H01,51,20.0,14.0,5.197560580066386,1.209912876036077,0.5114999966843644,0.2900633548246864,0.09416691705334479,0.08870003276976067,0.4679904934606614,1.6142097997671958,0.19008583525366438,0.04474574385637768,0.03555788487721862,0.3484097316602623
R15H01,52,20.0,16.0,6.722457161970783,1.415333721413566,0.48241038940045705,0.2980107252628799,0.11947231449167765,0.10459780702918597,0.4377087806110251,1.6454335823946649,0.19161662660548415,0.04542998362411487,0.036101644411115914,0.3451919071980987
R15H01,53,20.0,18.0,5.3466598155625,1.1843794507577876,0.5171820926745728,0.2830327782366717,0.09999336930743719,0.08390614537276896,0.47472717593907215,1.6832524949900836,0.19342833813268412,0.04623708492401902,0.036743072650379426,0.3423839980692302
R15H01,54,20.0,20.0,6.454507728860931,1.1253365967397073,0.48493923669936684,0.3117417518933031,0.12074862300048093,0.09378359925362308,0.43817797391537144,1.728139040865871,0.1954916264828038,0.04717553622946942,0.0374889822811197,0.34003848541997944
R15H01,55,22.0,2.0,5.49699848946133,1.009590617779936,0.5731741122227664,0.2728986338326793,0.1064247149407671,0.07478800974697962,0.5322393171478645,1.6589679950114304,0.19180323558325454,0.04532377881575059,0.03606511415380638,0.3640085688864129
R15H01,56,22.0,4.0,5.3679296638789635,1.0481792870822286,0.520831148168054,0.2624680738229761,0.09653711528050819,0.08594803696857974,0.4814609370946075,1.6830271806883657,0.1925725676658411,0.045980984955912296,0.03658806795125886,0.3550920477428748
R15H01,57,22.0,6.0,7.388382283921403,1.5145115234976696,0.5117913604012934,0.2987656307658478,0.1339436458438246,0.10695276203444783,0.46697651578641614,1.695534955706068,0.1930184342918162,0.04631217624267413,0.03685160438210391,0.35097337842858906
R15H01,58,22.0,8.0,6.177923201371701,1.3716325223741002,0.5331272485056597,0.2750486842260517,0.11522290248993368,0.08415911678475314,0.491869945871752,1.7097185476166614,0.1935822589028964,0.04667336012913324,0.03713900671475227,0.3470132023245649
R15H01,59,22.0,10.0,6.206409289531467,1.4026608094737012,0.5065660236925572,0.2964186999323377,0.11456817344433108,0.09197719185615777,0.46210321870270654,1.7270020913918502,0.19433212098815833,0.04709507665301965,0.03747457662366623,0.3430984405926439
R15H01,60,22.0,12.0,6.246344407773525,1.3613689564794242,0.5063731931305572,0.2939014538900366,0.1142550394608276,0.09367680390108492,0.4622879750470517,1.7484043593098209,0.1953158820517216,0.04759611418683424,0.037873265291013834,0.33930126766035074
R15H01,61,22.0,14.0,5.023976889621434,1.1956339289799034,0.5280180672611964,0.2778530389027669,0.09408403350376067,0.07591132083828085,0.4863401114257813,1.7749779367062675,0.1965727368832982,0.04819577374979992,0.03835043354349438,0.33570333868377666
R15H01,62,22.0,16.0,6.524012632868177,1.3352538296276697,0.48078517852749986,0.2975107282525239,0.11701647673375655,0.104169447130022,0.4361585692896213,1.807772600200368,0.19812899020009797,0.04891343880597032,0.0389215129433175,0.3323813113718372
