scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,n,viol_H,viol_L,upper_H,upper_L,certified,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,p95_B_H,p95_B_L
R15H01,0.7,0.2,0.5,78,26.0,2.0,150,144,95,0.985181478885102,0.7104368345613593,0,0.08307296149568467,0.06741767958750881,0.2455440626017445,0.43033684515135084,0.46716845454161254,0.17103726362625135,0.14828962818003913
R15H01,0.7,0.2,0.5,79,26.0,4.0,150,144,93,0.985181478885102,0.6979228157457065,0,0.08321690633933504,0.06823221347662271,0.24599427749027722,0.41974202892540385,0.4566411705489454,0.1581813444502345,0.14064039408866985
R15H01,0.7,0.2,0.5,80,26.0,6.0,150,146,107,0.9926874536019917,0.7841387291502817,0,0.08897953702661889,0.07103117946762805,0.24971027901165688,0.41065140266904754,0.448107944520796,0.17682926829268275,0.13846020461245007
R15H01,0.7,0.2,0.5,81,26.0,8.0,150,144,93,0.985181478885102,0.6979228157457065,0,0.0828415788098602,0.06667012145710738,0.24800038972017036,0.41053090568365225,0.4477309641416778,0.17005297334244698,0.1383307787563106
R15H01,0.7,0.2,0.5,82,26.0,10.0,150,142,98,0.97669618980353,0.7290896321748647,0,0.08402325133355186,0.06888849259331574,0.2481637815986798,0.41136083468957063,0.4485854019293726,0.16763157894736838,0.13712147113412126
R15H01,0.7,0.2,0.5,83,26.0,12.0,150,146,106,0.9926874536019917,0.7780936839776613,0,0.08983484111983359,0.07451909686538544,0.2564974954156866,0.3991285185763794,0.43760314288873225,0.18215901745313492,0.14509295990058785
R15H01,0.7,0.2,0.5,84,26.0,14.0,150,146,95,0.9926874536019917,0.7104368345613593,0,0.084261546355064,0.0675082670099168,0.2504787114292959,0.40417661480447653,0.4417484215188709,0.16571729957805903,0.13846286977128094
R15H01,0.7,0.2,0.5,85,26.0,16.0,150,147,103,0.9958563747187794,0.7598480539030887,0,0.09235281198863218,0.07597299712351954,0.2542222335657503,0.3828593395157057,0.4209926745505682,0.20089489718202563,0.15553820298409574
R15H01,0.7,0.2,0.5,86,26.0,18.0,150,148,104,0.9983811729701603,0.7659479938008387,0,0.09483834421944631,0.076255985695108,0.25999694609741625,0.3813739265168052,0.4203734684314176,0.17923608540046893,0.15141843971631205
R15H01,0.7,0.2,0.5,87,26.0,20.0,150,143,99,0.9810344303654225,0.7352749033488588,0,0.08907237378432577,0.07468345609522462,0.2598039043285949,0.3829461476942815,0.4219167333435707,0.18071120689655149,0.16468079888831352
R15H01,0.7,0.2,0.5,88,26.0,22.0,150,145,119,0.9890898135310887,0.8550511836699326,0,0.09726959191483928,0.07994684837016168,0.26949679363046347,0.3707171936753647,0.41114171271993416,0.18694852941176468,0.15993877551020408
R15H01,0.7,0.2,0.5,89,26.0,24.0,150,148,119,0.9983811729701603,0.8550511836699326,0,0.09870698516760565,0.08253192348565812,0.2701718548199699,0.3653888010304118,0.4059145792534073,0.1949712643678161,0.16263403836694537
R15H01,0.7,0.2,0.5,90,26.0,26.0,150,149,115,0.99983122885689,0.8317747490369354,0,0.10547780684186264,0.08758880152377548,0.27623222104838124,0.36152671372119605,0.4029615468784531,0.21928104575163387,0.18228492136910254
R15H01,0.7,0.2,0.5,91,28.0,2.0,150,140,98,0.9675702718413236,0.7290896321748647,0,0.0883079268597817,0.07285264737675257,0.25565562545373033,0.4159540699189355,0.4543024137369951,0.17894736842105252,0.14003638675171518
R15H01,0.7,0.2,0.5,92,28.0,4.0,150,145,103,0.9890898135310887,0.7598480539030887,0,0.0915297513684442,0.0752650159433314,0.25686672142704936,0.4083931764337289,0.44692318464778624,0.16874999999999993,0.15277108433734934
