scenario_id,rho,qH,tau,method,init_index,selected_idx,alpha_on,alpha_off,n,viol_H,viol_L,upper_H,upper_L,certified,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,p95_B_H,p95_B_L
R15H06,0.7,0.8,2.0,Exhaustive-training,-1,9,8.0,8.0,150,150,111,1.0,0.8081241822330423,0,0.2411821022112497,0.11464922892001274,0.41819623360059005,0.4795045785469004,0.5422340135869888,0.3828071182548794,0.2658670033670033
R15H06,0.7,0.8,2.0,DR-BGS,0,1,4.0,2.0,150,150,102,1.0,0.7537304842875724,0,0.23275340474332637,0.09382792507039112,0.4104996821054639,0.5565538638540695,0.618128816169889,0.3746773441144456,0.28114978902953575
R15H06,0.7,0.8,2.0,DR-BGS,1,1,4.0,2.0,150,150,102,1.0,0.7537304842875724,0,0.23275340474332637,0.09382792507039112,0.4104996821054639,0.5565538638540695,0.618128816169889,0.3746773441144456,0.28114978902953575
R15H06,0.7,0.8,2.0,DR-BGS,2,1,4.0,2.0,150,150,102,1.0,0.7537304842875724,0,0.23275340474332637,0.09382792507039112,0.4104996821054639,0.5565538638540695,0.618128816169889,0.3746773441144456,0.28114978902953575
R15H06,0.7,0.8,2.0,DR-BGS,3,1,4.0,2.0,150,150,102,1.0,0.7537304842875724,0,0.23275340474332637,0.09382792507039112,0.4104996821054639,0.5565538638540695,0.618128816169889,0.3746773441144456,0.28114978902953575
R15H06,0.7,0.8,2.0,DR-BGS,4,1,4.0,2.0,150,150,102,1.0,0.7537304842875724,0,0.23275340474332637,0.09382792507039112,0.4104996821054639,0.5565538638540695,0.618128816169889,0.3746773441144456,0.28114978902953575
R15H06,0.7,0.8,2.0,Guarded-GP,0,1,4.0,2.0,150,150,102,1.0,0.7537304842875724,0,0.23275340474332637,0.09382792507039112,0.4104996821054639,0.5565538638540695,0.618128816169889,0.3746773441144456,0.28114978902953575
R15H06,0.7,0.8,2.0,Guarded-GP,1,13,10.0,8.0,150,150,101,1.0,0.7475955847990066,0,0.24002307863843014,0.09807854209297716,0.41751902346474695,0.4990198243095155,0.5616476778292275,0.3795908922621247,0.23076923076923078
R15H06,0.7,0.8,2.0,Guarded-GP,2,9,8.0,8.0,150,150,111,1.0,0.8081241822330423,0,0.2411821022112497,0.11464922892001274,0.41819623360059005,0.4795045785469004,0.5422340135869888,0.3828071182548794,0.2658670033670033
R15H06,0.7,0.8,2.0,Guarded-GP,3,9,8.0,8.0,150,150,111,1.0,0.8081241822330423,0,0.2411821022112497,0.11464922892001274,0.41819623360059005,0.4795045785469004,0.5422340135869888,0.3828071182548794,0.2658670033670033
R15H06,0.7,0.8,2.0,Guarded-GP,4,9,8.0,8.0,150,150,111,1.0,0.8081241822330423,0,0.2411821022112497,0.11464922892001274,0.41819623360059005,0.4795045785469004,0.5422340135869888,0.3828071182548794,0.2658670033670033
R15H07,0.9,0.2,0.5,Exhaustive-training,-1,1,4.0,2.0,150,141,83,0.972200022205544,0.6344526531092491,0,0.0937353431643965,0.06554576329922893,0.24481420176439664,0.5861205720305166,0.6228427022951759,0.2139245585874799,0.15796511122697254
R15H07,0.9,0.2,0.5,DR-BGS,0,1,4.0,2.0,150,141,83,0.972200022205544,0.6344526531092491,0,0.0937353431643965,0.06554576329922893,0.24481420176439664,0.5861205720305166,0.6228427022951759,0.2139245585874799,0.15796511122697254
R15H07,0.9,0.2,0.5,DR-BGS,1,1,4.0,2.0,150,141,83,0.972200022205544,0.6344526531092491,0,0.0937353431643965,0.06554576329922893,0.24481420176439664,0.5861205720305166,0.6228427022951759,0.2139245585874799,0.15796511122697254
R15H07,0.9,0.2,0.5,DR-BGS,2,1,4.0,2.0,150,141,83,0.972200022205544,0.6344526531092491,0,0.0937353431643965,0.06554576329922893,0.24481420176439664,0.5861205720305166,0.6228427022951759,0.2139245585874799,0.15796511122697254
R15H07,0.9,0.2,0.5,DR-BGS,3,1,4.0,2.0,150,141,83,0.972200022205544,0.6344526531092491,0,0.0937353431643965,0.06554576329922893,0.24481420176439664,0.5861205720305166,0.6228427022951759,0.2139245585874799,0.15796511122697254
R15H07,0.9,0.2,0.5,DR-BGS,4,1,4.0,2.0,150,141,83,0.972200022205544,0.6344526531092491,0,0.0937353431643965,0.06554576329922893,0.24481420176439664,0.5861205720305166,0.6228427022951759,0.2139245585874799,0.15796511122697254
R15H07,0.9,0.2,0.5,Guarded-GP,0,1,4.0,2.0,150,141,83,0.972200022205544,0.6344526531092491,0,0.0937353431643965,0.06554576329922893,0.24481420176439664,0.5861205720305166,0.6228427022951759,0.2139245585874799,0.15796511122697254
R15H07,0.9,0.2,0.5,Guarded-GP,1,1,4.0,2.0,150,141,83,0.972200022205544,0.6344526531092491,0,0.0937353431643965,0.06554576329922893,0.24481420176439664,0.5861205720305166,0.6228427022951759,0.2139245585874799,0.15796511122697254
R15H07,0.9,0.2,0.5,Guarded-GP,2,1,4.0,2.0,150,141,83,0.972200022205544,0.6344526531092491,0,0.0937353431643965,0.06554576329922893,0.24481420176439664,0.5861205720305166,0.6228427022951759,0.2139245585874799,0.15796511122697254
R15H07,0.9,0.2,0.5,Guarded-GP,3,1,4.0,2.0,150,141,83,0.972200022205544,0.6344526531092491,0,0.0937353431643965,0.06554576329922893,0.24481420176439664,0.5861205720305166,0.6228427022951759,0.2139245585874799,0.15796511122697254
