scenario_id,rho,qH,tau,method,init_index,selected_idx,alpha_on,alpha_off,confirmed,A_n,A_viol_H,A_viol_L,A_upper_H,A_upper_L,A_certified,A_mean_B_H,A_mean_B_L,A_mean_W,A_mean_cloud_fraction,A_mean_op_cost,A_p95_B_H,A_p95_B_L,B_n,B_viol_H,B_viol_L,B_upper_H,B_upper_L,B_certified,B_mean_B_H,B_mean_B_L,B_mean_W,B_mean_cloud_fraction,B_mean_op_cost,B_p95_B_H,B_p95_B_L
R15L02,0.05,0.2,2.0,Exhaustive-training,-1,36,18.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03007437217888724,6.047527010208878e-05,0.004571631096935174,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014443266230515,0.00010435467784952788,0.004626019577195299,0.0,0.0
R15L02,0.05,0.2,2.0,DR-BGS,0,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,DR-BGS,1,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,DR-BGS,2,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,DR-BGS,3,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,DR-BGS,4,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,DR-BGS,5,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,DR-BGS,6,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,DR-BGS,7,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,DR-BGS,8,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,DR-BGS,9,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,Guarded-GP,0,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,Guarded-GP,1,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,Guarded-GP,2,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,Guarded-GP,3,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,Guarded-GP,4,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,Guarded-GP,5,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,Guarded-GP,6,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,Guarded-GP,7,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,Guarded-GP,8,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L02,0.05,0.2,2.0,Guarded-GP,9,45,20.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L03,0.05,0.5,0.5,Exhaustive-training,-1,21,14.0,2.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030129781870821125,0.0002587998866158111,0.00477826716723898,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030170135434785503,0.0002621479069705482,0.004787668222188374,0.0,0.0
R15L03,0.05,0.5,0.5,DR-BGS,0,41,18.0,12.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030130688352986622,9.433977425906827e-05,0.004613943027207062,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03017349271173736,5.744809635032814e-05,0.0045834720031109315,0.0,0.0
R15L03,0.05,0.5,0.5,DR-BGS,1,41,18.0,12.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030130688352986622,9.433977425906827e-05,0.004613943027207062,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03017349271173736,5.744809635032814e-05,0.0045834720031109315,0.0,0.0
R15L03,0.05,0.5,0.5,DR-BGS,2,41,18.0,12.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030130688352986622,9.433977425906827e-05,0.004613943027207062,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03017349271173736,5.744809635032814e-05,0.0045834720031109315,0.0,0.0
R15L03,0.05,0.5,0.5,DR-BGS,3,41,18.0,12.0,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030130688352986622,9.433977425906827e-05,0.004613943027207062,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03017349271173736,5.744809635032814e-05,0.0045834720031109315,0.0,0.0
