scenario_id,policy_idx,alpha_on,alpha_off,train_score,train_score_se,train_op_cost,train_W,train_B_H,train_B_L,train_cloud_fraction,diffusion_score,diffusion_W,diffusion_B_H,diffusion_B_L,diffusion_cloud_fraction,K,rho,qH,tau
C01,51,20.0,14.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470887,0.021772275844313925,1.5120410547656276e-10,1.5120410547656276e-10,0.0,40.0,0.05,0.2,0.5
C01,52,20.0,16.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470866,0.02177227584431391,1.5120410547656265e-10,1.5120410547656265e-10,0.0,40.0,0.05,0.2,0.5
C01,53,20.0,18.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647084,0.021772275844313894,1.5120410547656255e-10,1.5120410547656255e-10,0.0,40.0,0.05,0.2,0.5
C01,54,20.0,20.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647082,0.02177227584431388,1.5120410547656242e-10,1.5120410547656242e-10,0.0,40.0,0.05,0.2,0.5
C01,55,22.0,2.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.512041054765631e-10,1.512041054765631e-10,0.0,40.0,0.05,0.2,0.5
C01,56,22.0,4.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,57,22.0,6.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647097,0.02177227584431398,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,58,22.0,8.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647095,0.021772275844313967,1.5120410547656304e-10,1.5120410547656304e-10,0.0,40.0,0.05,0.2,0.5
C01,59,22.0,10.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470927,0.021772275844313953,1.5120410547656296e-10,1.5120410547656296e-10,0.0,40.0,0.05,0.2,0.5
C01,60,22.0,12.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647091,0.02177227584431394,1.5120410547656283e-10,1.5120410547656283e-10,0.0,40.0,0.05,0.2,0.5
C01,61,22.0,14.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647089,0.02177227584431393,1.5120410547656276e-10,1.5120410547656276e-10,0.0,40.0,0.05,0.2,0.5
C01,62,22.0,16.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647086,0.021772275844313908,1.5120410547656265e-10,1.5120410547656265e-10,0.0,40.0,0.05,0.2,0.5
C01,63,22.0,18.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647084,0.021772275844313894,1.5120410547656255e-10,1.5120410547656255e-10,0.0,40.0,0.05,0.2,0.5
C01,64,22.0,20.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647082,0.02177227584431388,1.5120410547656247e-10,1.5120410547656247e-10,0.0,40.0,0.05,0.2,0.5
C01,65,22.0,22.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647079,0.021772275844313863,1.5120410547656232e-10,1.5120410547656232e-10,0.0,40.0,0.05,0.2,0.5
C01,66,24.0,2.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.512041054765631e-10,1.512041054765631e-10,0.0,40.0,0.05,0.2,0.5
C01,67,24.0,4.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,68,24.0,6.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647097,0.02177227584431398,1.512041054765631e-10,1.512041054765631e-10,0.0,40.0,0.05,0.2,0.5
C01,69,24.0,8.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647095,0.021772275844313967,1.5120410547656304e-10,1.5120410547656304e-10,0.0,40.0,0.05,0.2,0.5
C01,70,24.0,10.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470927,0.021772275844313953,1.5120410547656296e-10,1.5120410547656296e-10,0.0,40.0,0.05,0.2,0.5
C01,71,24.0,12.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647091,0.02177227584431394,1.5120410547656283e-10,1.5120410547656283e-10,0.0,40.0,0.05,0.2,0.5
C01,72,24.0,14.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470887,0.021772275844313925,1.5120410547656276e-10,1.5120410547656276e-10,0.0,40.0,0.05,0.2,0.5
C01,73,24.0,16.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647086,0.021772275844313908,1.5120410547656268e-10,1.5120410547656268e-10,0.0,40.0,0.05,0.2,0.5
C01,74,24.0,18.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470844,0.021772275844313897,1.5120410547656255e-10,1.5120410547656255e-10,0.0,40.0,0.05,0.2,0.5
