scenario_id,K,rho,qH,tau,policy_idx,alpha_on,alpha_off,referenced_by_methods,run_references,batch_A_certified,batch_B_certified,confirmed_certified,A_n,A_viol_H,A_viol_L,A_upper_H,A_upper_L,A_certified,A_mean_B_H,A_mean_B_L,A_mean_W,A_mean_cloud_fraction,A_mean_op_cost,A_p95_B_H,A_p95_B_L,B_n,B_viol_H,B_viol_L,B_upper_H,B_upper_L,B_certified,B_mean_B_H,B_mean_B_L,B_mean_W,B_mean_cloud_fraction,B_mean_op_cost,B_p95_B_H,B_p95_B_L
C02,40.0,0.05,0.2,2.0,20,12.0,12.0,Guarded-GP,1,1,1,1,1200,9,0,0.01418940040994155,0.003069346108100284,1,0.00045477091855289744,0.0003505067812919985,0.03867834489603833,0.007258885438905593,0.013060637173311343,0.0,0.0027624309392265192,1200,8,0,0.013093527317660683,0.003069346108100284,1,0.0005016151509402405,0.00038352475537664236,0.039080468551237146,0.008021259374259926,0.013883329656945496,0.0,0.002825661273754493
C03,40.0,0.05,0.5,0.5,6,8.0,2.0,Exhaustive-training,1,1,1,1,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.0002811152652002444,0.00021644667613621925,0.037936093277740536,0.03301008629099032,0.0387005002826514,0.0,0.0,1200,2,0,0.006007480796118043,0.003069346108100284,1,0.00031979503946022794,0.00016612484872647741,0.03706353701626114,0.029777929150444436,0.03533745970288361,0.0,0.0
C03,40.0,0.05,0.5,0.5,7,8.0,4.0,DR-BGS,10,1,1,1,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.0002566553640445364,0.000162540369066087,0.03778671447248989,0.03208156318765045,0.03774957035852393,0.0,0.0,1200,2,0,0.006007480796118043,0.003069346108100284,1,0.0003385148428872788,0.00020993337619923248,0.037232967979119035,0.027405557246582623,0.032990502443450476,0.0,0.0
C03,40.0,0.05,0.5,0.5,14,10.0,10.0,Guarded-GP,1,1,1,1,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.0002970534183891521,0.00024521905101576824,0.038393952719678645,0.020499616719306987,0.026258709627258785,0.0,0.0,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.000264641443925922,0.00021831428827012316,0.03741293286484298,0.017725491560279857,0.023337431490006298,0.0,0.0
C03,40.0,0.05,0.5,0.5,19,12.0,10.0,Guarded-GP,2,1,1,1,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.00032932560179395174,0.00028536279428573787,0.03875091696747263,0.014529184511320074,0.020341822056440965,0.0,0.0,1200,2,0,0.006007480796118043,0.003069346108100284,1,0.00036936538634371757,0.0002623994814868635,0.03789272631244049,0.012700559399877069,0.018384468346743142,0.0,0.0
C03,40.0,0.05,0.5,0.5,20,12.0,12.0,Guarded-GP,5,1,1,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0002912987273634646,0.00026137777420491993,0.03872680287184176,0.013688804276619126,0.019497824707395393,0.0,0.0,1200,2,0,0.006007480796118043,0.003069346108100284,1,0.00038490138039472206,0.00024388604430340582,0.03798272615116018,0.011533285240243333,0.017230694162917358,0.003827567101699079,0.0
C03,40.0,0.05,0.5,0.5,22,14.0,4.0,Guarded-GP,1,1,1,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.00033626224796686816,0.0002305845485431358,0.038897738309882225,0.011673566251489647,0.017508226997971985,0.003969044457092265,0.0,1200,2,0,0.006007480796118043,0.003069346108100284,1,0.00039495438396747217,0.000302723222930034,0.03805991262582091,0.009718530690451359,0.015427517584324495,0.0,0.0
C03,40.0,0.05,0.5,0.5,23,14.0,6.0,Guarded-GP,1,1,1,1,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.0003615848627421874,0.0002828898972465471,0.039045957534726186,0.010905672648384733,0.01676256627859366,0.004071872651499619,0.0,1200,4,0,0.008512483409091042,0.003069346108100284,1,0.0003764605898578315,0.0003029534959346292,0.03806894965172681,0.00973623022894543,0.015446572676704452,0.0,0.0
C04,40.0,0.05,0.5,2.0,1,4.0,2.0,Exhaustive-training,1,1,1,1,1200,2,0,0.006007480796118043,0.003069346108100284,1,0.0004150585720800052,0.0003359700110999907,0.037753276052958334,0.059384587035645545,0.0650475784435893,0.004205271852330672,0.0,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.0003250796261107483,0.00035493988774751214,0.037342333169201616,0.057656116050672765,0.06325746602605299,0.0,0.0
C04,40.0,0.05,0.5,2.0,7,8.0,4.0,DR-BGS,10,1,1,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0004190230396683404,0.0003130534094151929,0.03849345314196204,0.0156312291171821,0.02140524708847641,0.0041841004184100415,0.0,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.00038467283894710397,0.00038629690095666393,0.038115389359628105,0.015159708401364125,0.020877016805308343,0.00019685039370060837,0.0
C04,40.0,0.05,0.5,2.0,14,10.0,10.0,Guarded-GP,6,1,1,1,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.00043228039648302225,0.00030088052968802847,0.03847674256443043,0.010574102072289024,0.016345613456953588,0.004292770460263429,0.0,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.0003759766544831515,0.00032824512655422566,0.038239540790244636,0.009952842599374593,0.01568877371791129,0.0,0.0
C04,40.0,0.05,0.5,2.0,19,12.0,10.0,Guarded-GP,2,1,1,1,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.0004447151448485113,0.00033235640495990433,0.0386732008125407,0.007488719352899633,0.013289699474780738,0.004292770460263429,0.0,1200,2,0,0.006007480796118043,0.003069346108100284,1,0.0003882809069798152,0.0004052954463491279,0.03842594285340532,0.006881228722864421,0.01264512015087522,0.0,0.0
C04,40.0,0.05,0.5,2.0,20,12.0,12.0,Guarded-GP,1,1,1,1,1200,2,0,0.006007480796118043,0.003069346108100284,1,0.00045922381400686477,0.0003440725885622648,0.0386972462118314,0.006978716353399894,0.012783303285174602,0.004347826086956522,0.0,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.00033531938261309663,0.0003524556935557335,0.03837435071193383,0.006152562909265083,0.011908715516055157,0.0,0.0
C04,40.0,0.05,0.5,2.0,21,14.0,2.0,Guarded-GP,1,1,1,1,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.00046398806773906287,0.0003193159767744944,0.03876226066937435,0.005899500442401265,0.011713839542807417,0.004347826086956522,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.00035420708468455146,0.0003742950572316793,0.03845975965778644,0.0050489100444452,0.010817873993113165,0.0,0.003988112590289246
C05,40.0,0.05,0.8,0.5,1,4.0,2.0,Exhaustive-training,1,1,1,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.00032791744306712536,0.00020368397715574374,0.03767841702673253,0.06994162861371578,0.07559339116772565,0.0027034371327849583,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.00028456416555691725,0.00019274534343580906,0.03784443643604638,0.069552429490846,0.07522909495625295,0.0026602855842530427,0.0
C05,40.0,0.05,0.8,0.5,2,4.0,4.0,Guarded-GP,1,1,1,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.00031972741219635665,0.00018740827247527028,0.03773384496081468,0.06712359325391609,0.07278366999803829,0.0027038073495839155,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0003342348230401039,0.00022977490161604127,0.03786143726752365,0.06741824082646247,0.07309745641659102,0.0027251678801685497,0.0
C05,40.0,0.05,0.8,0.5,5,6.0,6.0,Guarded-GP,9,1,1,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.00036219639562514176,0.00020273629757971114,0.03822436147003613,0.03218974034406927,0.03792339456457468,0.0027781646549056016,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0003334480041312358,0.00022379670610054369,0.03826945169844768,0.031139670785438618,0.03688008854020577,0.002747631156722066,0.0
C05,40.0,0.05,0.8,0.5,6,8.0,2.0,DR-BGS,10,1,1,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0003737230899423504,0.0002365806976061071,0.03837453834690938,0.02308509091984252,0.028841271671878933,0.0028172992758812763,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.00034630402467681004,0.00022181470531530635,0.03854756527636614,0.022728874822504963,0.02851100961395988,0.0027781646549056016,0.0
C06,40.0,0.05,0.8,2.0,6,8.0,2.0,DR-BGS;Exhaustive-training,11,1,1,1,1200,5,0,0.00969661797167014,0.003069346108100284,1,0.0005380957441862612,0.00045413653859867044,0.03907834463141577,0.011251150372867547,0.017112902067579913,0.0028910135770936944,0.0,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.0005001925857327402,0.0003117030256481769,0.039015833813782756,0.012419110416477135,0.01827148548854455,0.003039977018311216,0.0
C06,40.0,0.05,0.8,2.0,14,10.0,10.0,Guarded-GP,1,1,1,1,1200,5,0,0.00969661797167014,0.003069346108100284,1,0.0005275208893281867,0.0005090527737220971,0.03914528326685749,0.006683740682772263,0.012555533172800887,0.0029424855995810774,0.0,1200,3,0,0.007288522609490111,0.003069346108100284,1,0.0005123874996215785,0.00043982832887044234,0.03906583070701309,0.007357356075407446,0.01321723068145941,0.002987796579412963,0.0
C06,40.0,0.05,0.8,2.0,15,12.0,2.0,Guarded-GP,9,1,1,1,1200,6,0,0.010850910043876468,0.003069346108100284,1,0.000551482153852629,0.0004328051959737233,0.039220106069640055,0.005999126655129391,0.0118821425655754,0.002969593507561401,0.0,1200,3,0,0.007288522609490111,0.003069346108100284,1,0.0005383872990375597,0.0004486027809077801,0.03918690256245514,0.005664636112342648,0.01154267149671092,0.003048780487804878,0.0
